"PERMIT_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"BP2022-0606","2022-06-27 00:00:00","BUILDING NOTES","MARIAH MARSAN","VOIDED (4MM 6/27/2022 3:51:55 PM)(6/27/2022 3:49:47 PM 4MM) Action Created(6/27/2022 3:49 PM 4MM) IN FLOOD ZONE A WAITNG FOR FLOOD DETERMINATION FORM TO BE RETURNED -MM","","4MM:2206270349469833","","0","00000000AC351A3F","2889160245","","0"
"BP2020-0445","2022-06-28 00:00:00","BUILDING NOTES","MARIAH MARSAN","(6/28/2022 2:37:50 PM 4MM) Action Created(6/28/2022 2:37 PM 4MM) WAITING ON PAYMENT FOR ADDITIONAL TIME SPEND ON COMMENTS FOR REVISED SITE PLAN. EMAILED VDASARI1@YAHOO.COM 6.28.22. -MM","","4MM:2206280237490977","","0","00000000AC493281","2890478207","","0"
"BP2020-0445","2022-06-28 00:00:00","BUILDING NOTES","MARIAH MARSAN","(6/28/2022 2:43:04 PM 4MM) Action Created(6/28/2022 2:43 PM 4MM) PERMIT REQUEST IS STILL PENDING. CHRIS RICE IS SCHEDULED FOR A SITE VISIT 6.30.22. IF APPLICANT HAS CONTINUED PROJECT PASSED FOOTING APPROVAL, THEN APPLICANT WILL NEED TO BE HELD RESPONSIBLE AND CITED. IF PROJECT WAS HAULTED AFTER FOOTINGS THEN EXTENSION IS GRANTED TILL 1.30.23. ALSO THE REVISED SITE PLAN NEEDS TO BE STAMPED AND APPROVED -MM","","4MM:2206280243030981","","0","00000000AC495609","2890485379","","0"
"BP2022-0052","2022-07-20 00:00:00","BUILDING NOTES","MARIAH MARSAN","(7/20/2022 12:25:41 PM 4MM) Action Created(7/20/2022 12:25 PM 4MM) EMAIL REFUND FORM TO JIM DONOVAN (DONOVAN_JIM@MSN.COM). 07.20.22 FOR DOUBLE PAYMENT OF E&H AND PLANNING REVIEW FEE. -MM","","4MM:2207201225406150","","0","00000000AD59572F","2908313389","","0"
"BP2022-0713","2022-07-26 00:00:00","BUILDING NOTES","MARIAH MARSAN","(7/26/2022 11:09:05 AM 4MM) Action Created(7/26/2022 11:09 AM 4MM)REQUESTED SITE PLAN FROM WILLIAM MANG 7/26/22 -MM","","4MM:2207261109059840","","0","00000000AD99D9F4","2912541124","","0"
"BP2022-0713","2022-07-26 00:00:00","BUILDING NOTES","MARIAH MARSAN","(7/26/2022 11:21:07 AM 4MM) Action Created(7/26/2022 11:21 AM 4MM) ASKED FOR E&H AND C&D FORMS. 7/26/22","","4MM:2207261121079864","","0","00000000AD99E601","2912544254","","0"
"BP2022-0152","2022-07-26 00:00:00","BUILDING NOTES","MARIAH MARSAN","(7/26/2022 11:54:00 AM 4MM) Action Created(7/26/2022 11:54 AM 4MM) REVISION FEE PAID 7/25/22 WAS MEANT FOR BP2022-0512. CONTRACTOR TRANSPOSED BUILDING PERMIT NUMBERS. BP2022-0152 $149.00 FEE FOR ADDITIONAL TIME SPENT ON REVIEW NEEDS TO BE REFUNDED/ UNPAID AND APPLIED TO THE CORRECT PERMIT (BP2022-0512). -MM","","4MM:2207261154009924","","0","00000000AD9A04F1","2912552175","","0"
"BP2022-0617","2022-08-02 00:00:00","BUILDING NOTES","MARIAH MARSAN","(8/2/2022 8:37:31 AM 4MM) Action Created(8/2/2022 8:37 AM 4MM) REACHED OUT FOR FIRE SPRINKLER PLAN. ASKED APPLICANT IF THEY WANTED TO DEFER AND NOTIFIED THE FEE ($134) WILL BE APPLIED IF DEFERRED. -MM","","4MM:2208020837316387","2022-08-02 00:00:00","0","00000000ADFF4521","2918666806","","0"
"BP2022-0759","2022-08-04 00:00:00","BUILDING NOTES","MARIAH MARSAN","(8/4/2022 9:54:06 AM 4MM) Action Created(8/4/2022 9:54 AM 4MM) REQUESTED THEM TO FILL OUT E&H FORM AND RETURN -MM(8/4/2022 10:00 AM 4MM)E&H/ AIR QUALITY FORMS -MM","","4MM:2208040954069309","","0","00000000AE24751D","2921623374","","0"
"BP2022-0142","2022-02-28 00:00:00","GENERAL NOTE","ARMANDO GARCIA","(2/28/2022 8:12:05 AM AG) Action Created(2/28/2022 8:12 AM AG) ATTCHING FIRE DIST FEE FORM. UNSURE WHY RETURNED SIGNED. REVIEW SAYS NOT APPLICABLE.","","AG:2202280812057953","","0","00000000A5FDC25F","2784871005","","0"
"BP2022-0337","2022-03-31 00:00:00","GENERAL NOTE","ARMANDO GARCIA","(3/31/2022 11:19:59 AM AG) Action Created(3/31/2022 11:19 AM AG) Angelica and I spoke with Chris about relocating weatherhead/riser. 1 inspection required.","","AG:2203311119590396","","0","00000000A7A681E6","2812707300","","0"
"FE2021-0307","2022-04-01 00:00:00","BUILDING NOTES","ARMANDO GARCIA","(4/1/2022 9:37:02 AM AG) Action Created(4/1/2022 9:37 AM AG) OLD PARCEL 066-302-031 SPLIT INTO TWO NEW PARCELS 066-302-047 & 066-302-048","","AG:2204010937021291","","0","00000000A7B20909","2813462791","","0"
"BP2022-0393","2022-04-13 00:00:00","GENERAL NOTE","ARMANDO GARCIA","(4/13/2022 8:41:12 AM AG) Action Created(4/13/2022 8:41 AM AG) Plans not yet uploaded. Site plans were missing. Waiting on applicant to submit them.","","AG:2204130841122533","","0","00000000A862B20B","2825040393","","0"
"BP2022-0446","2022-05-10 00:00:00","GENERAL NOTE","ARMANDO GARCIA","(5/10/2022 2:01:44 PM AG) Action Created(5/10/2022 2:01 PM AG) Planning,pw, residential, and EH reviews are currently voided. Will re-apply plan reviews when plans are submitted.","","AG:2205100201446062","","0","00000000A9FC307C","2851876986","","0"
"BP2016-0669","2016-11-07 00:00:00","GENERAL NOTE","ANTHONY EBSTER","(11/7/2016 1:16:23 PM AME) Action CreatedI spoke with Mr. Sorrano regarding what is needed to move forward.  I advised him that we need the Owner/Builder form and Authorization of Agent form completed and returned so we can issue permits and do inspections.  He acknowledged that he needs to complete and submit forms.  The forms were emailed to him on 11/7/16 from Angelica Yepez.","","AME:1611070116225763","","0","00000000472AC731","1193985039","","0"
"FE2018-0016","2018-01-25 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(1/25/2018 2:46:51 PM ANE) Action Created(1/25/2018 2:46 PM ANE) Owner came into pay FSA  fees.  According to his sq ft check amount was wrong.","","ANE:1801250246516609","","0","000000005D20A4A7","1562420389","","0"
"FE2018-0114","2018-05-11 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(5/11/2018 1:26:15 PM ANE) Action Created(5/11/2018 1:26 PM ANE) PARCEL HAS BEEN SPLIT.  DARISH IS BUILDING 2 HOMES THIS FSA FEE IS FOR PARCEL 070-034-004. CREDIT APPLIED FOR A PREVIOUS DEMO SEE ATTACHMENTS.","","ANE:1805110126148954","","0","000000006266AB56","1650895577","","0"
"BP2018-0635","2018-07-13 00:00:00","ENV HEALTH NOTES","ANGELINA ESPINOZA","(7/13/2018 3:11:20 PM ANE) Action CreatedJianmin approved 1 fee for 0635-0637","","ANE:1807130311201412","","0","000000006686A8D2","1720100910","","0"
"BP2018-0811","2018-09-07 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(9/7/2018 3:49:13 PM ANE) Action Created(9/7/2018 3:49 PM ANE) John came in and talked to Scott about .  Barn only has 1 South Wall.  Scott okd.","","ANE:1809070349139667","","0","0000000069196201","1763271166","","0"
"BP2015-0019","2019-03-28 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(3/28/2019 11:38:08 AM ANE) Action Created(3/28/2019 11:38 AM ANE) Finaled, updated status.","","ANE:1903281138086247","2019-03-28 00:00:00","0","0000000075B35B56","1974688596","","0"
"BP2019-0233","2019-05-13 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(5/13/2019 11:05:32 AM ANE) Action Created(5/13/2019 11:05 AM ANE) John Trembly will email letter of auth today from Spencer.","","ANE:1905131105325939","2019-05-13 00:00:00","0","0000000077F019C7","2012212920","","0"
"BP2019-0778","2019-08-05 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(8/5/2019 10:50:41 AM ANE) Action Created(8/5/2019 10:50 AM ANE) Johh and Lyssa came to counter.  John M submitted incomplete submittal.  Will provide site plan.  Gave him school and fire district fee forms.  John M is aware of 2 expired permtis on property.","","ANE:1908051050411016","","0","000000007C58E708","2086200973","","0"
"FE2019-0539","2019-08-06 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(8/6/2019 3:53:18 PM ANE) Action Created(8/6/2019 3:53 PM ANE) Only Metal Shell Need Occupancy for FSA  fees","","ANE:1908060353182917","","0","000000007C7648EA","2088126696","","0"
"BP2019-0905","2019-09-05 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(9/5/2019 2:52:48 PM ANE) Action Created(9/5/2019 2:52 PM ANE) Owner had questions regarding accessory structure requirements and fees.","","ANE:1909050252480045","","0","000000007E2138AD","2116106409","","0"
"FE2019-0626","2019-09-10 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(9/10/2019 2:30:34 PM ANE) Action Created(9/10/2019 2:30 PM ANE) Called Tim, missing one address only have 5 out of the 6","","ANE:1909100230344707","","0","000000007E5B359E","2119906714","","0"
"BP2019-0671","2019-12-04 00:00:00","GENERAL NOTE","PGE RELEASE","(12/4/2019 2:17:46 PM ANE) Action Created(12/4/2019 2:17 PM ANE) Truss Calcs Picked up by JRoy.","","ANE:1912040217468475","","0","00000000828FF759","2190473047","","0"
"BP2019-1249","2020-01-16 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(1/16/2020 9:13:07 AM ANE) Action Created(1/16/2020 9:13 AM ANE) Sean left plans with out payment.  Plans are on front counter.","","ANE:2001160913070431","2020-01-16 00:00:00","0","00000000843CC293","2218574417","","0"
"BP2019-1249","2020-01-17 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(1/17/2020 9:45:56 AM ANE) Action Created(1/17/2020 9:45 AM ANE) Garage was converted into Cannabis processing illegally.  Garage is being converted back to garage.","","ANE:2001170945561590","2020-01-17 00:00:00","0","00000000844A9104","2219478739","","0"
"FE2020-0127","2020-02-20 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(2/20/2020 4:13:25 PM ANE) Action Created(2/20/2020 4:13 PM ANE) Please see attachment of County Code","","ANE:2002200413250001","2020-02-20 00:00:00","0","0000000085B97C87","2243478906","","0"
"BP2019-0286","2020-05-14 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(5/14/2020 9:32:22 AM ANE) Action Created(5/14/2020 9:32 AM ANE) Plans were hanging out in middle counter.  Placed them in commercial overflow 3.","","ANE:2005140932229956","2020-05-14 00:00:00","0","000000008CE8590F","2280663680","","0"
"BP2020-0532","2020-07-09 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(7/9/2020 12:15:31 PM ANE) Action Created(7/9/2020 12:15 PM ANE) Teresa came in for an estimate and how to pull permit.","","ANE:2007091215302028","2020-07-09 00:00:00","0","000000008A3A4F75","2319077203","","0"
"BP2020-0675","2020-08-25 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(8/25/2020 8:29:13 AM ANE) Action Created(8/25/2020 8:29 AM ANE) Sam Shin did not want to go through with the permit.","","ANE:2008250829136998","2020-08-25 00:00:00","0","000000008C273B93","2351381315","","0"
"BP2020-0121","2020-09-22 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(9/22/2020 11:29:35 AM ANE) Action Created(9/22/2020 11:29 AM ANE) NO FSA fees see demo BP202-0120.","","ANE:2009221129356983","","0","000000008D5B7E08","2371583494","","0"
"FE2020-0589","2020-10-22 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(10/22/2020 4:27:14 PM ANE) Action Created(10/22/2020 4:27 PM ANE) Demo needs to be finaled.","","ANE:2010220427145701","","0","000000008ED8D58E","2396575114","","0"
"BP2020-0834","2020-10-22 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(10/22/2020 8:41:04 PM ANE) Action Created(10/22/2020 8:41 PM ANE) Waiting for applicant.","","ANE:2010220841045869","2020-10-22 00:00:00","0","000000008EDA1917","2396657935","","0"
"BP2018-0516","2020-11-13 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(11/13/2020 11:19:45 AM ANE) Action Created(11/13/2020 11:19 AM ANE) Need plans to upload for revision","","ANE:2011131119458777","","0","000000008FBF6202","2411684351","","0"
"BP2020-1039","2020-12-21 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(12/21/2020 10:52:29 AM ANE) Action Created(12/21/2020 10:52 AM ANE) Ok per Tom Davis","","ANE:2012211052299405","2020-12-21 00:00:00","0","00000000913DECBC","2436743306","","0"
"BP2021-0022","2021-01-08 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(1/8/2021 10:22:23 AM ANE) Action Created(1/8/2021 10:22 AM ANE) OK PER TOM TO BRING IN INCOMPLETE SUBMITTAL.","","ANE:2101081022237924","2021-01-08 00:00:00","0","0000000091C92405","2445866739","","0"
"FE2021-0119","2021-03-10 00:00:00","ASR-ADDRESS","ANGELINA ESPINOZA","(3/10/2021 1:33:39 PM ANE) Action Created(3/10/2021 1:33 PM ANE) New Address 17156","","ANE:2103100133396021","2021-03-10 00:00:00","0","000000009477B541","2490873129","","0"
"BP2019-1261","2021-04-05 00:00:00","REINSTATE PERMIT","ANGELINA ESPINOZA","(4/5/2021 8:53:01 AM ANE) Action Created(4/5/2021 8:53 AM ANE)Added plan check extension fee and extended review to 10/21/2021.","","ANE:2104050853019253","","0","00000000958E47A4","2509123867","","0"
"BP2021-0278","2021-04-05 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(4/5/2021 9:13:59 AM ANE) Action Created(4/5/2021 9:13 AM ANE) Application parcel # is 041-040-055.  Trakit does not recognize parcel.  Megabyte shows 041-040-017 was split to 054&055.","","ANE:2104050913599357","2021-04-05 00:00:00","0","00000000958F09E6","2509172644","","0"
"BP2020-0037","2021-05-07 00:00:00","GENERAL NOTE","PGE RELEASE","(5/7/2021 11:50:29 AM ANE) Action Created(5/7/2021 11:50 AM ANE) Suzie sent an email stating that the location and size of MH is changing.","","ANE:2105071150296957","2021-05-07 00:00:00","0","0000000096DBEBD4","2530994359","","0"
"BP2021-0400","2021-05-14 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(5/14/2021 8:40:27 AM ANE) Action Created(5/14/2021 8:40 AM ANE) Waiting for documents.","","ANE:2105140840272045","2021-05-18 00:00:00","0","000000009746B361","2535212067","","0"
"FE2021-0283","2021-05-25 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(5/25/2021 9:17:53 AM ANE) Action Created(5/25/2021 9:17 AM ANE) Incorrect address provided.  1400 Hammon Drive was submitted for, correct address 1814 Patriot Way.","","ANE:2105250917548451","2021-05-25 00:00:00","0","000000009793CD1D","2543045433","","0"
"BP2021-0593","2021-07-26 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(7/26/2021 11:47:29 AM ANE) Action Created(7/26/2021 11:47 AM ANE) Will issue school and fire district fee forms when demo is finaled.","","ANE:2107261147294385","2021-07-26 00:00:00","0","000000009A9B349C","2593862714","","0"
"FE2021-0424","2021-08-26 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(8/26/2021 11:03:14 AM ANE) Action Created(8/26/2021 11:03 AM ANE) FSA FEES APPLY","","ANE:2108261103144192","2021-08-26 00:00:00","0","000000009CA21625","2627867871","","0"
"BP2021-0848","2021-10-06 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(10/6/2021 8:43:46 AM ANE) Action Created(10/6/2021 8:43 AM ANE) Electronic Plans(8/8/2022 10:12 AM EC)OK per Chris to charge half of TCO fees","","ANE:2110060843461238","","0","00000000AE4AD01A","2660779164","","0"
"BP2021-0530","2021-11-18 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(11/18/2021 8:45:16 AM ANE) Action Created(11/18/2021 8:45 AM ANE) FANTASIA WILL BE BACK FRIDAY 11-19 TO PICK UP PLANS.  FANTASIA TOOK PERMIT CARD TO HAVE SOMEONE AUTHORIZED TO SIGN BACK AT THE OFFICE.","","ANE:2111180845166298","2021-11-18 00:00:00","0","00000000A07DF1CD","2692607360","","0"
"BP2022-0177","2022-03-07 00:00:00","PG&E ELECTRIC METER RELEASE","PGE RELEASE","(3/7/2022 2:33:11 PM ANE) Action Created(3/7/2022 2:33 PM ANE) TAG# 36451","","ANE:2203070233109294","","0","00000000A664CF60","2791624542","","0"
"BP2022-0491","2022-06-06 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(6/6/2022 2:57:05 PM ANE) Action Created(6/6/2022 2:57 PM ANE) Spoke to Raul, he will need to submit for an Accessory Structure.  Garage plans were submitted to Fire.","","ANE:2206060257054747","2022-06-06 00:00:00","0","00000000AB372A52","2872519248","","0"
"BP2021-0848","2022-08-08 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(8/8/2022 11:36:07 AM ANE) Action Created(8/8/2022 11:36 AM ANE)tco extended 10/11/22","","ANE:2208081136072330","2022-08-08 00:00:00","0","00000000AE4ACDD3","2924137879","","0"
"BP2022-0730","2022-10-18 00:00:00","GENERAL NOTE","ANGELINA ESPINOZA","(10/18/2022 2:54:35 PM ANE) Action Created(10/18/2022 2:54 PM ANE) Plans devaite from field work.30 AMP Disconnect in field - plans show 60 MP disconnect2 Service Meters in field - plans show 12nd disconnec in field - plans do not show 2nd disconnectJunction box or equivalent unsure what that is on plans","","ANE:2210180254352846","","0","00000000B250F224","2991646569","","0"
"FE2012-0069","2012-03-26 00:00:00","REQUEST ADDITIONAL INFO","ANGELICA YEPEZ","(3/29/2012 1:28:04 PM AY) Action Created(3/29/2012 1:28:04 PM AY) Subpeona for any records for Eric Ross Manson.","","AY:1203290128046265","2012-03-29 00:00:00","0","0000000005A10018","94437309","",""
"FP2012-0079","2012-11-05 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(11/5/2012 11:55:14 AM AY) Action Created(11/5/2012 11:55:14 AM AY)  Left a message for Doug informing that the Minor Flood Variance need to be picked up and recorded at the Yolo County Recorders and return a Conformed Copy.  Upon receiving the Conformed Copy the ag exempt will be ready for issuance pending an ag exempt fee of $130.00.(11/6/2012 10:01 AM AY)Left a message for Doug informing that the Minor Left another message for Doug Faszer regarding the status - Minor Flood Variance needs to be picked up and recorded at the Yolo County Recorders and return a Conformed Copy.  Upon receiving the Conformed Copy the ag exempt will be ready for issuance pending an ag exempt fee of $130.00.","","AY:1211051155147284","2012-11-05 00:00:00","0","0000000008F8025C","150122741","",""
"BP2013-0164","2013-03-21 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(3/21/2013 2:49:19 PM AY) Action Created(3/21/2013 2:49:19 PM AY) Spoke to Bryan Custer and informed him of the permit  status and amount due.","","AY:1303210249193008","2013-03-21 00:00:00","0","000000000B00C0AB","184591856","",""
"BP2013-0165","2013-03-21 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(3/21/2013 2:49:26 PM AY) Action Created(3/21/2013 2:49:26 PM AY) Spoke to Bryan Custer and informed him of the permit  status and amount due.","","AY:1303210249263009","2013-03-21 00:00:00","0","000000000B00A604","184591865","",""
"BP2013-0165","2013-04-03 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(4/3/2013 11:25:03 AM AY) Action Created(4/3/2013 11:25:03 AM AY) Spoke to Bryan Custer and informed him of the permit status and amount due.","","AY:1304031125035770","2013-04-03 00:00:00","0","000000000B3222E0","187835092","",""
"BP2013-0164","2013-04-03 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(4/3/2013 11:25:14 AM AY) Action Created(4/3/2013 11:25:14 AM AY) Spoke to Bryan Custer and informed him of the permit status and amount due.","","AY:1304031125135771","2013-04-03 00:00:00","0","000000000B3223E8","187835160","",""
"BP2013-0497","2013-12-17 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(12/17/2013 9:39 AM AY) Andrea Gabor was in inquiring about another project; this project came up.  Provided her the plan review comment letter and she said she would be following up.","","AY:1312170939403430","2013-12-17 00:00:00","0","000000000FCA7F65","264929109","","0"
"BP2013-0497","2014-01-06 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(1/6/2014 10:08 AM AY) Received a call from McCandless & Associates regarding QDA9 and since Lonell is no longer in Yolo County; forwarded the caller to Doug Simms.","","AY:1401061008521125","2014-01-06 00:00:00","0","00000000100E0A37","269355563","","0"
"FE2014-0001","2014-01-16 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(1/16/2014 3:40 PM AY) Spoke to Wes Ervin regarding whom the owner of the hanger will be; he said it will be Robert Faris the ground lease holder.  He also explained that once the lease has expired (by yr 2,038), Mr. Faris will have (3) option's: Either to demo the building if it is not worth anything, or sell it to the County based on Fair Market Value or give it to the County.  Wes believes that we should charge FSA fees.  Spoke to David Morrison and he agreed with charging the FSA fees for the 4,000 sq. ft. hanger based on Warehouse/ Storage Rate.","","AY:1401160340071110","2014-01-16 00:00:00","0","0000000010523F04","273825527","","0"
"FE2014-0028","2014-02-12 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(2/12/2014 10:02 AM AY) Also revised the FSA fee that was previously entered by Erin.  The FSA originally entered  for this was a Multi-family $4,879.60 but it was revised to the Single family dwelling rate: $6,617.60.","","AY:1402121002428266","2014-02-12 00:00:00","0","0000000010D448C4","282347683","","0"
"FE2014-0029","2014-02-13 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(2/13/2014 11:28 AM AY) David Morrison replied to my email clarifying that FSA Transfer was approved by him; therefore, no FSA fees applicable for the installation of manufactured home.","","AY:1402131128219197","2014-02-13 00:00:00","0","0000000010DC485D","282871881","","0"
"BP2014-0173","2014-05-06 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(5/6/2014 10:49 AM AY) Assigned address: 19741 County Road 79.  See addressing map page H8a.","","AY:1405061049059055","2014-05-06 00:00:00","0","0000000057030775","319155341","","0"
"BP2014-0173","2014-05-08 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(5/8/2014 10:37 AM AY) Revisions resubmitted for review of the 1st plan check comments; placed the revisions on plan check shelf for review.","","AY:1405081037560483","2014-05-08 00:00:00","0","00000000131537BE","320157446","","0"
"BP2014-0173","2014-05-30 00:00:00","RETURNED PLANS","ANGELICA YEPEZ","(5/30/2014 1:46 PM AY) Resubmittal of revisions were returned for review; placed on plan check shelf for plan checker to review.","","AY:1405300146183100","2014-05-30 00:00:00","0","0000000013BE9FAF","331259805","","0"
"EBP2014-0025","2014-08-25 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(8/25/2014 1:50:16 PM AY) Action Created(8/25/2014 1:50 PM AY) Received refund request from Teresa Fontes with Greiner Heating & Air.  Placed it in Ed Short's inbox for review and approval.","","AY:1408250150156870","2014-08-25 00:00:00","0","000000001A420849","440417699","","0"
"BP2014-0107","2014-10-27 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/27/2014 4:47:00 PM AY) Action Created(10/27/2014 4:47 PM AY) Tony was in attempting to re-submit revisions to Bldg. Cycle 2, but missing revisions.  He will return upon having complete revisions. He revised the permit application.  See attached.","","AY:1410270447001945","2014-10-27 00:00:00","0","000000001F0DB6DE","520992452","","0"
"BP2014-0107","2014-10-30 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/30/2014 11:51:58 AM AY) Action Created(10/30/2014 11:51 AM AY) Emailed WC3 (Jacqui and Zahra on 10/28/2014 informing them that the electronic resubmittal has been uploaded for their review. Tony Singh brought in the (2) sets of hard copy set of plans with original signatures; placed on re-check shelf as electronic version is uploaded to Trakit for WC3 review.","","AY:1410301151583976","2014-10-30 00:00:00","0","000000001F3E5B2F","524180251","","0"
