id,fee_account,fee_group,fee_type,policy,authorization,adopted,revised,expires,tier_base_qty,tier_base_fee,rate,units,rate_check
2335,23,Bldg-Insp,"New/Replace Sign Rate Illuminated, Non-Illuminated Monument or Pole",,"H&S 17951, YCC 7-1.03",,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2336,23,Bldg-Insp,New/Replacement Building Sign Rate Illuminate or Non- Illuminated,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2337,23,Bldg-Insp,Other Requested Inspections,,"H&S 17951, GC 66014, YCC 7-1.03",,2018-06-26,,0.0,0.0,1.5,each hour,145.00 / per hour (min. 1.5 hours)
2338,23,Bldg-Insp,Patio Cover Enclosed/Trellis,"Use ""Simple Permits: 2 Inspections""",H&S 17951,,2018-06-26,,0.0,0.0,12.0,each permit,434.00 / Flat Fee
2339,23,Bldg-Insp,"Patio Deck, Uncovered","Use ""Simple Permits: 2 Inspections""",H&S 17951,,2020-06-23,,0.0,0.0,10.0,each permit,434.00 / Flat Fee
2340,23,Bldg-Insp,"Photovoltaic/Solar System, Commercial - Ground mounted",,H&S 17951,,2018-06-26,,3.0,435.0,145.0,each hour,145.00 / Per Hour (min. 3 hours)
2341,23,Bldg-Insp,"Photovoltaic/Solar System, Commercial - Roof mounted",,H&S 17951,,2018-06-26,,0.0,0.0,434.0,each permit,434.00 / Flat Fee
2342,23,Bldg-Insp,"Photovoltaic/Solar System, Residential - Ground mounted",,H&S 17951,,2018-06-26,,0.0,0.0,145.0,each hour,145.00 / Per Hour (min. 2 hours)
2343,23,Bldg-Insp,"Photovoltaic/Solar System, Residential - Roof mounted",,H&S 17951,,2018-07-24,,0.0,0.0,290.0,each permit,290.00 / Flat Fee
2344,23,Bldg-Insp,Pool and/or Spa remodel,,H&S 17951,,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2345,23,Bldg-Insp,Propane Tank Installation,,H&S 17951,,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2346,23,Bldg-Insp,Re-Inspection Fee - 1.5 Hour Minimum,,"H&S 17951, GC 66014, YCC 7-1.03",,2018-06-26,,1.5,223.5,145.0,each hour,"145.00 / Per Hour, Minimum 1.5 Hours"
2347,23,Bldg-Insp,"Re-Roof (Residential, Commercial, Multi-Family)","Use ""Simple Permits: 2 Inspections""",H&S 17951,,2020-06-23,,0.0,0.0,10.0,each building,434.00 / Per Building
2348,23,Bldg-Insp,Site inspection,"Use ""Inspections - Hourly""",H&S 17951,,2018-06-26,,0.0,0.0,12.0,each hour,149.00 / Per Hour
2349,23,Bldg-Insp,Solar Heating for Pool / Spa,,H&S 17951,2018-06-26,,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2350,23,Bldg-Insp,Spa/Hot Tub Permit-Basic,,H&S 17951,,2020-06-23,,0.0,0.0,434.0,each permit,434.00 / Per Permit
2351,23,Bldg-Insp,Special inspection request and/or pre-construction meeting,"Use ""Inspections - Hourly""",H&S 17951,,2018-06-26,,2.0,298.0,149.0,each hour,149.00 / Per Hour (min. 2 hours)
2352,23,Bldg-Insp,Stucco/ Siding,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,434.0,each permit,434.00 / Flat Fee
2353,23,Bldg-Insp,Swimming Pool Permit-Residential,,H&S 17951,,2020-06-23,,0.0,0.0,869.0,each permit,869.00 / Per Permit
2354,23,Bldg-Insp,Temporary Electric,"Use ""Service- or Sub-Panel""",H&S 17951,,2018-06-26,,0.0,0.0,12.0,each permit,217.00 / Per Permit
2355,23,Bldg-Insp,Temporary Gas,,H&S 17951,,2018-06-26,,0.0,0.0,217.0,each permit,217.00 / Per Permit
2356,23,Bldg-Insp,Temporary Occupancy,"Use ""Inspections - Hourly""","H&S 17951, GC66014, YCC 7-1.03",,2020-06-23,,0.0,0.0,10.0,each permit,491.00 / Flat Fee
2357,23,Bldg-Insp,Water Heater Installation - up to 2 units,,H&S 17951,,2018-06-26,,0.0,0.0,130.0,each permit,130.00 / Per Permit
2358,23,Bldg-Insp,Window Installation and/or Replacement (Covers 1 Inspection),,H&S 17951,,2018-06-26,,0.0,0.0,217.0,each permit,217.00 / Flat Fee
2401,24,Bldg-Fire,Additional Fire Inspections,,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,223.0,each inspection,223.00 / Per Inspection
2402,24,Bldg-Fire,Additional Fire Plan Review (over 2 reviews),,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,223.0,each review,223.00 / Per Review
2403,24,Bldg-Fire,Commercial Kitchen Hood System / Special Systems,,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,446.0,each permit,446.00 / Per Permit
2404,24,Bldg-Fire,"Commercial Sprinkler System - 201+ Sprinkler Heads (underground systems included, new systems only)",,"H&S17951, GC66014",,2020-06-23,,0.0,0.0,1189.0,each permit,1189.00 / Per Permit
2405,24,Bldg-Fire,Commercial/Residential Sprinkler Add/Alternative,,"H&S17951, GC66014",2018-06-26,,,0.0,0.0,446.0,each permit,446.00 / Per Permit
2406,24,Bldg-Fire,Fire Alarm System Plan Review Fee,,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,595.0,each permit,595.00 / Per Permit
2407,24,Bldg-Fire,Fire Construction Plan Review/Special Review,,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,446.0,each permit,446.00 / Per Permit
2408,24,Bldg-Fire,Fire Inspection Fee,,"H&S17951, GC66014",,2020-06-23,,0.0,0.0,297.0,each permit,297.00 / Per Permit
2409,24,Bldg-Fire,"Fire Inspection Fee - Underground, Hazmat, Hydrant, Tanks, Tents, Special Events, Fire Investigation, Weed/ Fire Hazard Abatement",,"H&S17951, GC66014",2018-06-26,,,0.0,0.0,595.0,each permit,595.00 / Per Permit
2410,24,Bldg-Fire,Flammable or Combustible Liquid Tank  - Installation or Removel (Above Ground or Underground),,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,595.0,each permit,595.00 / Per Permit
2411,24,Bldg-Fire,Residential Fire Sprinklers (New Buildings),,"H&S17951, GC66014",,2018-06-26,,0.0,0.0,595.0,each permit,595.00 / Per Permit
2501,25,Bldg-Flood,Flood Elevation Certificate,,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,2018-06-26,,0.0,0.0,558.0,each permit,558.00 / Flat Fee
2502,25,Bldg-Flood,Flood Management Fee,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,0.0466,$1 of Plan Review Fees,"4.66% of the Plan Review Fee, as applicable"
2503,25,Bldg-Flood,Flood Plain Substantial Improvement Determination,,"H&S 17951, YCC 7-1.03",2018-06-26,,,0.0,0.0,267.0,each permit,267.00 / Per Permit
2504,25,Bldg-Flood,Flood Zone Determination Fee,,"GC 65104, 66016; Cal. Const. Art. XI @ 7",,2018-06-26,,0.0,0.0,33.0,15 minutes,33.00 / per 15 minutes (15 minute minimum)
4101,41,Tech,Technology Recovery Fee,,Ordinance 1381,2009-05-19,,,0.0,0.0,0.06,$1 of Permit Cost,6% of permit cost
9901,99,FSA,County - Multi-family (2 or more),,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,4830.0,each unit,4830.00 / per unit
9902,99,FSA,County - Single Family Housing,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,6515.0,each dwelling,6515.00 / dwelling
9903,99,FSA,County - Industrial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,626.0,"each 1,000 square feet","626.00 / per 1,000 sq. ft."
9904,99,FSA,County - Office,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,1247.0,"each 1,000 square feet","1247.00 / per 1,000 sq. ft."
9905,99,FSA,County - Commercial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,936.0,"each 1,000 square feet","936.00 / per 1,000 sq. ft."
9906,99,FSA,County - Warehouse,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,375.0,"each 1,000 square feet","375.00 / per 1,000 sq. ft."
9911,99,FSA,Davis - Multi-family (2 or more),"Refer to County FSA Fee ordinance and the fee study driving the values to determine fee applicability. Appeals are to be directed to Scott Doolittle, Leslie Lindbo, and Mark Bryan.","GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,3180.0,each unit,3180.00 / per unit
9912,99,FSA,Davis - Single Family Housing,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,4290.0,each dwelling,4290.00 / dwelling
9913,99,FSA,Davis - Industrial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,334.0,"each 1,000 square feet","334.00 / per 1,000 sq. ft."
9914,99,FSA,Davis - Office,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,666.0,"each 1,000 square feet","666.00 / per 1,000 sq. ft."
9915,99,FSA,Davis - Commercial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,500.0,"each 1,000 square feet","500.00 / per 1,000 sq. ft."
9916,99,FSA,Davis - Warehouse,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,200.0,"each 1,000 square feet","200.00 / per 1,000 sq. ft."
9921,99,FSA,West Sacramento - Multi-family (2 or more),,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,3267.0,each unit,3267.00 / per unit
9922,99,FSA,West Sacramento - Single Family Housing,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,4407.0,each dwelling,4407.00 / dwelling
9923,99,FSA,West Sacramento - Industrial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,334.0,"each 1,000 square feet","334.00 / per 1,000 sq. ft."
9924,99,FSA,West Sacramento - Office,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,666.0,"each 1,000 square feet","666.00 / per 1,000 sq. ft."
9925,99,FSA,West Sacramento - Commercial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,500.0,"each 1,000 square feet","500.00 / per 1,000 sq. ft."
9926,99,FSA,West Sacramento - Warehouse,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,200.0,"each 1,000 square feet","200.00 / per 1,000 sq. ft."
9931,99,FSA,Winters - Multi-family (2 or more),,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,3267.0,each unit,3267.00 / per unit
9932,99,FSA,Winters - Single Family Housing,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,4407.0,each dwelling,4407.00 / dwelling
9933,99,FSA,Winters - Industrial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,334.0,"each 1,000 square feet","334.00 / per 1,000 sq. ft."
9934,99,FSA,Winters - Office,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,666.0,"each 1,000 square feet","666.00 / per 1,000 sq. ft."
9935,99,FSA,Winters - Commercial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,500.0,"each 1,000 square feet","500.00 / per 1,000 sq. ft."
9936,99,FSA,Winters - Warehouse,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,200.0,"each 1,000 square feet","200.00 / per 1,000 sq. ft."
9941,99,FSA,Woodland - Multi-family (2 or more),,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,2312.0,each unit,2312.00 / per unit
9942,99,FSA,Woodland - Single Family Housing,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,3118.0,each dwelling,3118.00 / dwelling
9943,99,FSA,Woodland - Industrial,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,334.0,"each 1,000 square feet","334.00 / per 1,000 sq. ft."
9944,99,FSA,Woodland - Office,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,666.0,"each 1,000 square feet","666.00 / per 1,000 sq. ft."
9945,99,FSA,Woodland - Commercial,,"GC 66000,66001",1991-04-15,2016-07-26,,0.0,0.0,500.0,"each 1,000 square feet","500.00 / per 1,000 sq. ft."
9946,99,FSA,Woodland - Warehouse,,"GC66000, 66001",1991-04-15,2016-07-26,,0.0,0.0,200.0,"each 1,000 square feet","200.00 / per 1,000 sq. ft."
