"PERMIT_NO","REVIEWTYPE","DATE_SENT","CONTACT","STATUS","DATE_RECEIVED","NOTES","REMARKS","LOCKID","DATE_DUE","RECORDID","REVIEWGROUP","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id","ASSIGNED_DATE","REVIEW_ACK"
"BP2022-0052","ELECTRICAL CYCLE 1","2022-01-13 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-01-14 00:00:00","","","","2022-01-19 00:00:00","4MM:2201131008448003","AUTO","0","00000000A36C4BFF","2739953081","","0","",""
"BP2022-0052","MECHANICAL CYCLE 1","2022-01-13 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-01-14 00:00:00","","","","2022-01-19 00:00:00","4MM:2201131008448004","AUTO","0","00000000A36C4C02","2739953086","","0","",""
"BP2022-0052","ENVIRONMENTAL HEALTH CYCLE 1","2022-01-13 00:00:00","SUZIE DAWLEY","CORRECTIONS SENT","2022-01-24 00:00:00","(1/18/2022 8:10 AM DA)FA0021","","","2022-01-28 00:00:00","4MM:2201131008448005","AUTO","0","00000000A3BB633D","2739953089","","0","",""
"BP2022-0052","F-L-S CYCLE 1","2022-01-13 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-01-14 00:00:00","","","","2022-02-04 00:00:00","4MM:2201131008448006","AUTO","0","00000000A36C4FA1","2739953092","","0","",""
"BP2022-0052","FIRE DISTRICT FEE FORM","2022-01-13 00:00:00","PERMIT TECH","","","","","","2022-02-04 00:00:00","4MM:2201131008458007","AUTO","0","00000000A3505DC9","2739953095","","0","",""
"BP2022-0052","PLANNING CYCLE 1","2022-01-13 00:00:00","TRACY GONZALEZ","","","(1/31/2022 3:36 PM TG)Planni","MIT. FEES DUE / COA'S NOT MET","","2022-02-04 00:00:00","4MM:2201131008458008","AUTO","0","00000000A4126515","2739953098","","0","",""
"BP2022-0052","STRUCTURAL CYCLE 1","2022-01-13 00:00:00","SCOTT DOOLITTLE","NEXT CYCLE SUBMITTED","2022-02-12 00:00:00","","","","2022-02-04 00:00:00","4MM:2201131008458009","AUTO","0","00000000A9DBB9FB","2739953101","","0","",""
"BP2022-0052","PUBLIC WORKS","2022-01-13 00:00:00","JAIR BAUTISTA","CORRECTIONS SENT","2022-02-02 00:00:00","","see attached","","2022-01-28 00:00:00","4MM:2201131008458010","AUTO","0","00000000A435D7B5","2739953104","","0","",""
"BP2022-0052","FLOOD ZONE EC","2022-03-11 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-07 00:00:00","(2/12/2022 12:53 PM SD)Not s","","","2022-05-09 00:00:00","4MM:2201131009108016","FLOOD ZONE","0","00000000A9DBB9F5","2739953174","","0","",""
"BP2022-0052","FLOOD ZONE REVIEW","2022-01-13 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-07 00:00:00","(2/12/2022 12:53 PM SD)Needs","","","2022-02-04 00:00:00","4MM:2201131009108017","FLOOD ZONE","0","00000000A9DBB9F9","2739953177","","0","",""
"BP2022-0052","IWM C and D","2022-01-13 00:00:00","IWM REVIEWER","","","","","","2022-01-28 00:00:00","4MM:2201131009478018","ALL","0","00000000A3505E62","2739953248","","0","",""
"BP2021-0879","RESIDENTIAL CYCLE 4","2022-01-14 00:00:00","DAVE BRANDEBERRY","APPROVED","2022-01-18 00:00:00","","","","2022-01-24 00:00:00","4MM:2201141204189243","RESIDENTIAL CYCLE 4","0","00000000A37A27C7","2741564436","","0","",""
"BP2022-0068","IWM C and D","2022-02-25 00:00:00","IWM REVIEWER","","","","","","2022-05-05 00:00:00","4MM:2201190109503139","AUTO","0","00000000A852D032","2744123598","","0","",""
"BP2022-0068","FIRE DISTRICT FEE FORM","2022-02-25 00:00:00","PERMIT TECH","APPROVED","2022-09-26 00:00:00","","","","2022-03-14 00:00:00","4MM:2201190109503140","AUTO","0","00000000B0DEB4EE","2744123601","","0","",""
"BP2022-0068","SCHOOL DISTRICT FEE FORM","2022-02-25 00:00:00","PERMIT TECH","APPROVED","2022-09-26 00:00:00","","","","2022-03-14 00:00:00","4MM:2201190109513141","AUTO","0","00000000B0DEB4F0","2744123604","","0","",""
"BP2022-0068","PW CYCLE 1","2022-01-19 00:00:00","JAIR BAUTISTA","CORRECTIONS SENT","2022-02-09 00:00:00","","see attached","","2022-02-02 00:00:00","4MM:2201190109513143","AUTO","0","00000000A5141F20","2744123610","","0","",""
"BP2022-0068","FIRE ALARM CYCLE 1","","4LEAF","","","","New permit to be created","","","4MM:2201190109523144","AUTO","0","00000000B3F8B9A9","2744123615","","0","",""
"BP2022-0068","FIRE SPRINK CYCLE 1","2022-02-25 00:00:00","SCOTT DOOLITTLE","CORRECTIONS SENT","2022-03-29 00:00:00","","Refer to BP2022-0945","","2022-03-14 00:00:00","4MM:2201190109523145","AUTO","0","00000000B34513F0","2744123618","","0","",""
"BP2022-0068","ENVIRONMENTAL HEALTH CYCLE 1","2022-02-25 00:00:00","DEBORAH ANDERSON","CORRECTIONS SENT","2022-03-29 00:00:00","(1/20/2022 10:24 AM SE)waiti","","","2022-03-10 00:00:00","4MM:2201190109523146","AUTO","0","00000000A77E90E5","2744123623","","0","",""
"BP2022-0068","FIRE SITE REVIEW CYCLE 1","2022-02-25 00:00:00","PERMIT TECH","APPROVED","2022-11-08 00:00:00","","","","2022-03-14 00:00:00","4MM:2201190109533147","AUTO","0","00000000B344AD4E","2744123628","","0","",""
"BP2022-0068","PLANNING CYCLE 1","2022-02-25 00:00:00","TRACY GONZALEZ","","","(2/3/2022 2:52 PM TG)Tied to","PENDING SPR APPROVAL","","2022-05-05 00:00:00","4MM:2201190109533148","AUTO","0","00000000A852D034","2744123631","","0","",""
"BP2022-0092","ELECTRICAL CYCLE 1","2022-01-28 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-04 00:00:00","","PENDING FLOOD REVIEW","","2022-03-04 00:00:00","4MM:2201281051225879","AUTO","0","00000000A6B46669","2750934293","","0","",""
"BP2022-0092","PLUMBING CYCLE 1","2022-01-28 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-04 00:00:00","","","","2022-03-04 00:00:00","4MM:2201281051235880","AUTO","0","00000000A6B4666B","2750934296","","0","",""
"BP2022-0092","FLOOD ZONE REVIEW","2022-01-28 00:00:00","SCOTT DOOLITTLE","NEXT CYCLE SUBMITTED","2022-02-12 00:00:00","","","","2022-02-14 00:00:00","4MM:2201281051235881","AUTO","0","00000000B4B9300E","2750934299","","0","",""
"BP2022-0092","ENVIRONMENTAL HEALTH CYCLE 1","2022-01-28 00:00:00","DEBORAH ANDERSON","APPROVED","2022-02-02 00:00:00","(1/28/2022 4:21 PM CM)FA2162","SEE NOTES","","2022-02-11 00:00:00","4MM:2201281051235882","AUTO","0","00000000A43150A4","2750934302","","0","",""
"BP2022-0092","PLANNING CYCLE 1","2022-01-28 00:00:00","TRACY GONZALEZ","APPROVED","2022-02-08 00:00:00","","","","2022-02-21 00:00:00","4MM:2201281101015954","COMMERCIAL CYCLE 1","0","00000000A4FCA418","2750942523","","0","",""
"BP2022-0092","YSAQMD","2022-01-28 00:00:00","YSAQMD","APPROVED","2022-03-01 00:00:00","","","","2022-02-11 00:00:00","4MM:2201281101025955","COMMERCIAL CYCLE 1","0","00000000A620E0E6","2750942526","","0","",""
"BP2022-0093","ELECTRICAL CYCLE 1","2022-04-12 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-12-08 00:00:00","","PENDING FLOOD REVIEW CYC 2","","2022-04-15 00:00:00","4MM:2201281116066017","AUTO","0","00000000B4B99CBD","2750945834","","0","",""
"BP2022-0093","PLUMBING CYCLE 1","2022-04-12 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-12-08 00:00:00","","","","2022-04-15 00:00:00","4MM:2201281116066018","AUTO","0","00000000B4B99CBF","2750945837","","0","",""
"BP2022-0093","FLOOD ZONE REVIEW","2022-01-28 00:00:00","SCOTT DOOLITTLE","NEXT CYCLE SUBMITTED","2022-02-12 00:00:00","","","","2022-02-07 00:00:00","4MM:2201281116066019","AUTO","0","00000000B4B980D8","2750945840","","0","",""
"BP2022-0093","ENVIRONMENTAL HEALTH CYCLE 1","2022-01-28 00:00:00","DEBORAH ANDERSON","APPROVED","2022-02-09 00:00:00","(1/28/2022 4:22 PM CM)FA2162","SEE NOTES","","2022-02-11 00:00:00","4MM:2201281116066020","AUTO","0","00000000A51C2F08","2750945843","","0","",""
"BP2022-0093","PLANNING","2022-01-28 00:00:00","TRACY GONZALEZ","APPROVED","2022-02-03 00:00:00","","setbacks met","","2022-02-11 00:00:00","4MM:2201281123276072","ALL","0","00000000A447C23D","2750948019","","0","",""
"BP2022-0093","YSAQMD","2022-01-28 00:00:00","YSAQMD","APPROVED","2022-03-01 00:00:00","","","","2022-02-11 00:00:00","4MM:2201281123276073","ALL","0","00000000A620E1DC","2750948022","","0","",""
"BP2022-0114","ELECTRICAL CYCLE 1","2022-02-04 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-10 00:00:00","","","","2022-02-18 00:00:00","4MM:2202040900212698","AUTO","0","00000000A68B0804","2756565145","","0","",""
"BP2022-0114","ENVIRONMENTAL HEALTH CYCLE 1","2022-02-04 00:00:00","SUZIE DAWLEY","APPROVED","2022-02-22 00:00:00","(2/4/2022 1:37 PM CM)Waiting","SEE NOTES","","2022-02-18 00:00:00","4MM:2202040900212699","AUTO","0","00000000A5BB61FA","2756565148","","0","",""
"BP2022-0114","PLANNING CYCLE 1","2022-02-04 00:00:00","TRACY GONZALEZ","APPROVED","2022-03-04 00:00:00","(3/4/2022 11:02 AM TG)Setbac","","","2022-02-18 00:00:00","4MM:2202040900212700","AUTO","0","00000000A64C05BC","2756565151","","0","",""
"BP2022-0114","PW CYCLE 1","2022-02-04 00:00:00","JAIR BAUTISTA","APPROVED","2022-03-08 00:00:00","","","","2022-02-18 00:00:00","4MM:2202040900212701","AUTO","0","00000000A66FE6DF","2756565154","","0","",""
"BP2022-0114","RESIDENTIAL CYCLE 1","2022-02-04 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-10 00:00:00","","","","2022-02-18 00:00:00","4MM:2202040900212702","AUTO","0","00000000A68B0806","2756565157","","0","",""
"BP2018-0158","STRUCTURAL CYCLE 4","2022-02-22 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-23 00:00:00","","","","2022-03-01 00:00:00","4MM:2202220852061079","COMMERCIAL CYCLE 4","0","00000000A739CCBB","2779894205","","0","",""
"BP2022-0186","Roof Mount Solar","2022-02-25 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-10 00:00:00","","","","2022-03-02 00:00:00","4MM:2202250934116620","AUTO","0","00000000A6887CCF","2784017914","","0","",""
"BP2022-0190","ENVIRONMENTAL HEALTH CYCLE 1","2022-02-25 00:00:00","SUZIE DAWLEY","CORRECTIONS SENT","2022-03-29 00:00:00","(2/28/2022 10:04 AM CM)FA156","SEE NOTES","","2022-03-25 00:00:00","4MM:2202251106057149","AUTO","0","00000000A7872824","2784084001","","0","",""
"BP2022-0190","FIRE DISTRICT FEE FORM","2022-02-25 00:00:00","PERMIT TECH","APPROVED","2022-06-02 00:00:00","","","","2022-03-25 00:00:00","4MM:2202251106067150","AUTO","0","00000000AB1DAC39","2784084004","","0","",""
"BP2022-0190","FLOOD ZONE REVIEW","2022-02-25 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-29 00:00:00","(3/29/2022 4:08 PM SD)Not in","","","2022-03-25 00:00:00","4MM:2202251106067151","AUTO","0","00000000A7856CDB","2784084007","","0","",""
"BP2022-0190","PLANNING CYCLE 1","2022-02-25 00:00:00","TRACY GONZALEZ","APPROVED","2022-03-21 00:00:00","(3/21/2022 9:07 AM TG)A-N se","","","2022-03-25 00:00:00","4MM:2202251106067153","AUTO","0","00000000A7856CD7","2784084015","","0","",""
"BP2022-0190","PW CYCLE 1","2022-02-25 00:00:00","JAIR BAUTISTA","APPROVED","2022-03-21 00:00:00","(3/21/2022 2:19 PM JBA)BRIDG","SEE NOTES","","2022-03-25 00:00:00","4MM:2202251106067154","AUTO","0","00000000A7856CD9","2784084018","","0","",""
"BP2022-0190","IWM C and D","2022-02-25 00:00:00","IWM REVIEWER","N/A","2022-05-08 00:00:00","(2/25/2022 11:42 AM 4MM)DID ","PRE FAB BUILDING","","2022-03-25 00:00:00","4MM:2202251140167300","ALL","0","00000000A9DCC3F2","2784095674","","0","",""
"BP2021-0689","RESIDENTIAL CYCLE 2","2022-02-25 00:00:00","CHRIS RICE","APPROVED","2022-03-10 00:00:00","","","","2022-03-11 00:00:00","4MM:2203020159113639","RESIDENTIAL CYCLE 2","0","00000000A692723C","2788104409","","0","",""
"BP2021-0871","REVISION CYCLE 1","2022-03-09 00:00:00","CHRIS RICE","APPROVED","2022-03-24 00:00:00","","","","2022-03-16 00:00:00","4MM:2203090940242168","ALL","0","00000000A7511032","2793391176","","0","",""
"BP2021-0835","REVISION CYCLE 1","2022-03-10 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-03-29 00:00:00","","","","2022-03-24 00:00:00","4MM:2203100812082767","ALL","0","00000000A77C7F35","2793950219","","0","",""
"BP2022-0267","PLANNING CYCLE 1","2022-03-15 00:00:00","TRACY GONZALEZ","","","","COA's for UP not met","","2022-04-05 00:00:00","4MM:2203150959317126","AUTO","0","00000000A85BA716","2797834266","","0","",""
"BP2022-0267","PW CYCLE 1","2022-03-15 00:00:00","JAIR BAUTISTA","CORRECTIONS SENT","2022-08-24 00:00:00","(8/24/2022 11:02 AM JBA)Pend","SEE NOTES RE: COA's","","2022-03-29 00:00:00","4MM:2203150959317127","AUTO","0","00000000AF332EFC","2797834269","","0","",""
"BP2022-0267","STRUCTURAL CYCLE 1","2022-03-15 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-07 00:00:00","","","","2022-04-22 00:00:00","4MM:2203150959327128","AUTO","0","00000000A9DBBF41","2797834272","","0","",""
"BP2022-0276","Roof Mount Solar","2022-03-16 00:00:00","CHRIS RICE","APPROVED","2022-03-18 00:00:00","","","","2022-03-19 00:00:00","4MM:2203160849238571","AUTO","0","00000000A6F7ABC8","2798786069","","0","",""
"BP2022-0287","ENVIRONMENTAL HEALTH CYCLE 1","2022-03-30 00:00:00","DEBORAH ANDERSON","APPROVED","2022-05-11 00:00:00","(3/30/2022 4:42 PM CM)FA7509","","","2022-04-13 00:00:00","4MM:2203301146428691","ALL","0","00000000AA0FF13B","2811656331","","0","",""
"BP2022-0287","FIRE DISTRICT FEE FORM","2022-03-30 00:00:00","PERMIT TECH","APPROVED","2022-04-01 00:00:00","","","","2022-04-20 00:00:00","4MM:2203301146428692","ALL","0","00000000A7B0ED1A","2811656336","","0","",""
"BP2022-0287","FLOOD ZONE REVIEW","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-04-23 00:00:00","(4/23/2022 11:38 AM SD)Becau","","","2022-04-13 00:00:00","4MM:2203301146428693","ALL","0","00000000A913DD2D","2811656341","","0","",""
"BP2022-0287","IWM C and D","2022-03-30 00:00:00","IWM REVIEWER","N/A","2022-05-23 00:00:00","(5/5/2022 2:23 PM PH)not app","","","2022-04-13 00:00:00","4MM:2203301146428694","ALL","0","00000000AA9B3BBD","2811656344","","0","",""
"BP2022-0287","PLANNING CYCLE 1","2022-03-30 00:00:00","TRACY GONZALEZ","APPROVED","2022-04-14 00:00:00","(4/14/2022 10:16 AM TG)The p","setbacks met-see notes","","2022-04-13 00:00:00","4MM:2203301146428695","ALL","0","00000000A8890BFC","2811656347","","0","",""
"BP2022-0287","PW CYCLE 1","2022-03-30 00:00:00","JAIR BAUTISTA","NEXT CYCLE SUBMITTED","2022-04-14 00:00:00","(4/14/2022 10:03 AM JBA)APPL","see email attachment","","2022-04-13 00:00:00","4MM:2203301146438696","ALL","0","00000000AA7C9B71","2811656350","","0","",""
"BP2022-0287","RESIDENTIAL CYCLE 1","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-19 00:00:00","(4/23/2022 11:40 AM SD)No co","","","2022-04-13 00:00:00","4MM:2203301146438697","ALL","0","00000000AA7C9B73","2811656353","","0","",""
"BP2022-0306","ENVIRONMENTAL HEALTH CYCLE 1","2022-03-30 00:00:00","DEBORAH ANDERSON","APPROVED","2022-05-11 00:00:00","(3/30/2022 4:43 PM CM)FA7509","","","2022-04-13 00:00:00","4MM:2203301221438865","ALL","0","00000000AA0FF1D8","2811832346","","0","",""
"BP2022-0306","FIRE DISTRICT FEE FORM","2022-03-30 00:00:00","PERMIT TECH","APPROVED","2022-04-01 00:00:00","","","","2022-04-20 00:00:00","4MM:2203301221438866","ALL","0","00000000A7B0ED06","2811832351","","0","",""
"BP2022-0306","FLOOD ZONE REVIEW","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-07 00:00:00","(5/7/2022 10:21 AM SD)Becaus","","","2022-04-13 00:00:00","4MM:2203301221438867","ALL","0","00000000A9DAD9E3","2811832354","","0","",""
"BP2022-0306","IWM C and D","2022-03-30 00:00:00","IWM REVIEWER","","","(5/5/2022 1:22 PM PH)No fees","VOIDED (PH 5/5/2022)","","2022-04-13 00:00:00","4MM:2203301221438868","ALL","0","00000000A9C8EC36","2811832357","","0","",""
"BP2022-0306","PLANNING CYCLE 1","2022-03-30 00:00:00","TRACY GONZALEZ","APPROVED","2022-04-14 00:00:00","(4/14/2022 10:15 AM TG)The p","setbacks met - see notes","","2022-04-13 00:00:00","4MM:2203301221438869","ALL","0","00000000A8890B56","2811832360","","0","",""
"BP2022-0306","PW CYCLE 1","2022-03-30 00:00:00","JAIR BAUTISTA","NEXT CYCLE SUBMITTED","2022-04-14 00:00:00","","see email attachment","","2022-04-13 00:00:00","4MM:2203301221448870","ALL","0","00000000AA7C9C02","2811832363","","0","",""
"BP2022-0306","RESIDENTIAL CYCLE 1","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-19 00:00:00","(5/7/2022 10:16 AM SD)No com","","","2022-04-13 00:00:00","4MM:2203301221448871","ALL","0","00000000AA7C9C04","2811832366","","0","",""
"BP2022-0307","ENVIRONMENTAL HEALTH CYCLE 1","2022-03-30 00:00:00","DEBORAH ANDERSON","APPROVED","2022-05-11 00:00:00","(3/30/2022 4:43 PM CM)FA7509","","","2022-04-13 00:00:00","4MM:2203301223248872","ALL","0","00000000AA0FF65B","2811832613","","0","",""
"BP2022-0307","FIRE DISTRICT FEE FORM","2022-03-30 00:00:00","PERMIT TECH","APPROVED","2022-04-01 00:00:00","","","","2022-04-20 00:00:00","4MM:2203301223248873","ALL","0","00000000A7B0ECE7","2811832616","","0","",""
"BP2022-0307","FLOOD ZONE REVIEW","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-04-23 00:00:00","(4/23/2022 12:14 PM SD)Becau","","","2022-04-13 00:00:00","4MM:2203301223248874","ALL","0","00000000A91426D1","2811832619","","0","",""
"BP2022-0307","IWM C and D","2022-03-30 00:00:00","IWM REVIEWER","","","(5/5/2022 12:01 PM PH)not ap","VOIDED (PH 5/5/2022)","","2022-04-13 00:00:00","4MM:2203301223248875","ALL","0","00000000A9C7945C","2811832622","","0","",""
"BP2022-0307","PLANNING CYCLE 1","2022-03-30 00:00:00","TRACY GONZALEZ","APPROVED","2022-04-14 00:00:00","(4/14/2022 10:14 AM TG)The p","setbacks met - see notes","","2022-04-13 00:00:00","4MM:2203301223258876","ALL","0","00000000A8890A43","2811832625","","0","",""
"BP2022-0307","PW CYCLE 1","2022-03-30 00:00:00","JAIR BAUTISTA","NEXT CYCLE SUBMITTED","2022-04-14 00:00:00","","see email attachment","","2022-04-13 00:00:00","4MM:2203301223258877","ALL","0","00000000AA7C9C24","2811832628","","0","",""
"BP2022-0307","RESIDENTIAL CYCLE 1","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-19 00:00:00","(5/7/2022 10:17 AM SD)No com","","","2022-04-13 00:00:00","4MM:2203301223258878","ALL","0","00000000AA7C9C26","2811832631","","0","",""
"BP2022-0308","ENVIRONMENTAL HEALTH CYCLE 1","2022-03-30 00:00:00","DEBORAH ANDERSON","APPROVED","2022-05-11 00:00:00","(3/30/2022 4:44 PM CM)FA7509","","","2022-04-13 00:00:00","4MM:2203301224328879","ALL","0","00000000AA0FF642","2811832813","","0","",""
"BP2022-0308","FIRE DISTRICT FEE FORM","2022-03-30 00:00:00","PERMIT TECH","APPROVED","2022-04-01 00:00:00","","","","2022-04-20 00:00:00","4MM:2203301224328880","ALL","0","00000000A7B0ECD9","2811832816","","0","",""
"BP2022-0308","FLOOD ZONE REVIEW","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-04-23 00:00:00","(4/23/2022 12:16 PM SD)Becau","","","2022-04-13 00:00:00","4MM:2203301224338881","ALL","0","00000000A914270E","2811832819","","0","",""
"BP2022-0308","IWM C and D","2022-03-30 00:00:00","IWM REVIEWER","","","(5/5/2022 11:58 AM PH)Prefab","VOIDED (PH 5/5/2022)","","2022-04-13 00:00:00","4MM:2203301224338882","ALL","0","00000000A9C7931F","2811832822","","0","",""
"BP2022-0308","PLANNING CYCLE 1","2022-03-30 00:00:00","TRACY GONZALEZ","APPROVED","2022-04-14 00:00:00","(4/14/2022 10:15 AM TG)The p","setbacks met","","2022-04-13 00:00:00","4MM:2203301224338883","ALL","0","00000000A8890AC9","2811832827","","0","",""
"BP2022-0308","PW CYCLE 1","2022-03-30 00:00:00","JAIR BAUTISTA","NEXT CYCLE SUBMITTED","2022-04-14 00:00:00","","see email attachment","","2022-04-13 00:00:00","4MM:2203301224338884","ALL","0","00000000AA7C9C44","2811832830","","0","",""
"BP2022-0308","RESIDENTIAL CYCLE 1","2022-03-30 00:00:00","SCOTT DOOLITTLE","APPROVED","2022-05-19 00:00:00","(5/7/2022 10:17 AM SD)No com","","","2022-04-13 00:00:00","4MM:2203301224338885","ALL","0","00000000AA7C9C46","2811832834","","0","",""
"BP2022-0364","Roof Mount Solar","2022-04-07 00:00:00","ANGELINA ESPINOZA","APPROVED","2022-04-13 00:00:00","","","","2022-04-12 00:00:00","4MM:2204070958176528","AUTO","0","00000000A86AA3B0","2818894411","","0","",""
"FE2022-0124","ADDRESSING","2022-04-14 00:00:00","MARIAH MARSAN","","","","","","2022-04-28 00:00:00","4MM:2204140109164737","ALL","0","00000000A889D678","2827605058","","0","",""
"FE2022-0145","ADDRESSING","2022-04-26 00:00:00","PERMIT TECH","APPROVED","2022-04-28 00:00:00","","","","2022-05-05 00:00:00","4MM:2204280239196268","ALL","0","00000000A95B96B5","2841351781","","0","",""
"BP2022-0457","ENVIRONMENTAL HEALTH CYCLE 1","2022-05-03 00:00:00","DEBORAH ANDERSON","APPROVED","2022-05-16 00:00:00","(5/5/2022 1:06 PM CM)FA10215","SEE NOTES","","2022-05-17 00:00:00","4MM:2205031034378800","AUTO","0","00000000AA3F177F","2844310815","","0","",""
"BP2022-0457","FIRE DISTRICT FEE FORM","2022-05-03 00:00:00","PERMIT TECH","APPROVED","2022-06-27 00:00:00","","","","2022-05-24 00:00:00","4MM:2205031034378801","AUTO","0","00000000AC2B0ADC","2844310818","","0","",""
"BP2022-0457","FLOOD ZONE REVIEW","2022-05-03 00:00:00","SCOTT DOOLITTLE","N/A","2022-05-25 00:00:00","(5/25/2022 11:18 AM SD)Not i","","","2022-05-10 00:00:00","4MM:2205031034378802","AUTO","0","00000000AAC10DFA","2844310823","","0","",""
"BP2022-0457","IWM C and D","2022-05-03 00:00:00","IWM REVIEWER","APPROVED","2022-06-28 00:00:00","","","","2022-05-17 00:00:00","4MM:2205031034378803","AUTO","0","00000000AC41F79F","2844310826","","0","",""
"BP2022-0457","PLANNING CYCLE 1","2022-05-03 00:00:00","TRACY GONZALEZ","APPROVED","2022-05-18 00:00:00","(5/18/2022 9:18 AM TG)Pool h","see notes","","2022-05-17 00:00:00","4MM:2205031034388804","AUTO","0","00000000AA64C5C7","2844310829","","0","",""
"BP2022-0457","PW CYCLE 1","2022-05-03 00:00:00","JAIR BAUTISTA","APPROVED","2022-05-20 00:00:00","(5/20/2022 9:43 AM JBA)drive","see notes","","2022-05-17 00:00:00","4MM:2205031034388805","AUTO","0","00000000AA882A91","2844310832","","0","",""
