"CASE_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"CE2022-0023","","VERIFY VIOLATION","DBK","2022-04-04 00:00:00","","2022-04-04 00:00:00","","","VIOLATION CONF.","","","DBK:2204040311063248","","2022-04-04 00:00:00","15:11","DBK","","","0","00000000A7CFFB1C","2815423671","","","","0"
"CE2022-0023","","FOLLOW UP","","","","","","","","","","DBK:2204040311063249","","2022-04-04 00:00:00","15:11","DBK","","","0","00000000A7CFFB1E","2815423674","","","","0"
"CE2022-0023","","FOLLOW UP","PT","","","","","","","","","DBK:2204040311063250","","2022-04-04 00:00:00","15:11","DBK","","","0","00000000A7CFF4BF","2815423677","","","","0"
"CE2022-0023","Sign removed","COMPLIANCE","DBK","2022-04-29 00:00:00","","2022-04-29 00:00:00","","","VIOL. RESOLVED","","","DBK:2204040311073251","","2022-04-04 00:00:00","15:11","DBK","","","0","00000000A96FE08C","2815423680","","","","0"
"CE2022-0004","Good progress made toward compliance","SITE VISIT","DBK","2022-03-18 00:00:00","","2022-03-18 00:00:00","","","PASS","","","DBK:2204050856093811","","2022-04-05 00:00:00","08:56","DBK","","","0","00000000A7D6A84C","2815849827","","","","0"
"CE2022-0013","Both signs removed","SITE VISIT","DBK","2022-04-14 00:00:00","","2022-04-14 00:00:00","","","VIOL. RESOLVED","(4/14/2022 3:24 PM DBK)I conducted an inspection today. Both signs have been removed. Complied.","","DBK:2204140323024906","","2022-04-14 00:00:00","15:23","DBK","","","0","00000000A88E779A","2827908823","","","","0"
"CE2022-0024","","SITE VISIT","DBK","2022-04-11 00:00:00","","2022-04-11 00:00:00","","","","(4/14/2022 8:47 AM DBK)Many vehicles observed parked on the property and in the street.","","DBK:2204140842173872","","2022-04-14 00:00:00","08:42","DBK","","","0","00000000A8887831","2827514846","","","","0"
"CE2022-0024","","VERIFY VIOLATION","DBK","2022-04-11 00:00:00","","2022-04-11 00:00:00","","","","","","DBK:2204140842173873","","2022-04-14 00:00:00","08:42","DBK","","","0","00000000A888949A","2827514849","","","","0"
"CE2022-0024","","LETTER DRAFTING","DBK","2022-04-14 00:00:00","","2022-04-14 00:00:00","","","","","","DBK:2204140842173874","","2022-04-14 00:00:00","08:42","DBK","","","0","00000000A888A936","2827514852","","","","0"
"CE2022-0024","","FOLLOW UP","PT","","","","","","","","","DBK:2204140842173875","","2022-04-14 00:00:00","08:42","DBK","","","0","00000000A88873E9","2827514855","","","","0"
"CE2022-0024","","COMPLIANCE","PT","","","","","","","","","DBK:2204140842183876","","2022-04-14 00:00:00","08:42","DBK","","","0","00000000A88873EC","2827514858","","","","0"
"CE2022-0018","Weeds mowed/complied","COMPLIANCE","DBK","2022-04-11 00:00:00","","2022-04-11 00:00:00","","","VIOL. RESOLVED","(4/14/2022 11:06 AM DBK)I conducted an inspection on 4/11/22 and observed the weeds had been cut down to below 18<Quote> in height.","","DBK:2204141105214533","","2022-04-14 00:00:00","11:05","DBK","","","0","00000000A889500D","2827571090","","","","0"
"CE2022-0026","Stop Work Order issued","SITE VISIT","DBK","2022-04-22 00:00:00","","2022-04-22 00:00:00","","","STOP WORK NOTICE","(4/22/2022 2:40 PM DBK)While driving by this address I noticed new framing attached to a small structure. Unknown what the original structure is or what the small addition is. I could not access the property due to a closed driveway gate. I issued a Stop Work order and taped it to the driveway gate.","","DBK:2204220234520826","","2022-04-22 00:00:00","14:34","DBK","","","0","00000000A911120D","2836467538","","","","0"
"CE2020-0020","","SITE VISIT","DBK","2022-04-20 00:00:00","","2022-04-20 00:00:00","","","VIOL. RESOLVED","","","DBK:2204220824010072","","2022-04-22 00:00:00","08:24","DBK","","","0","00000000A90A5264","2836025954","","","","0"
"CE2020-0010","","SITE VISIT","DBK","2022-04-26 00:00:00","","2022-04-26 00:00:00","","","VIOL. RESOLVED","","","DBK:2204280843365582","","2022-04-28 00:00:00","08:43","DBK","","","0","00000000A951F161","2840719711","","","","0"
"CE2022-0028","","SITE VISIT","DBK","2022-04-29 00:00:00","","2022-04-29 00:00:00","","","VIOLATION CONF.","","","DBK:2205020821467334","","2022-05-02 00:00:00","08:21","DBK","","","0","00000000A96FDE35","2842680883","","","","0"
"CE2022-0028","","VERIFY VIOLATION","DBK","2022-04-29 00:00:00","","2022-04-29 00:00:00","","","VIOLATION CONF.","(5/2/2022 8:22 AM DBK)Sign advertising NOR CAL PUMP AND WELL DRILLING observed at the corner of Rd 98 and Russell Blvd.","","DBK:2205020821467335","","2022-05-02 00:00:00","08:21","DBK","","","0","00000000A96FDE9C","2842680886","","","","0"
"CE2022-0028","","SITE VISIT","DBK","2022-06-02 00:00:00","","2022-06-02 00:00:00","","","VIOL. RESOLVED","","","DBK:2206030741123575","","2022-06-03 00:00:00","07:41","DBK","","","0","00000000AB242E50","2871275086","","","","0"
"CE2022-0028","Sign removed","COMPLIANCE","DBK","2022-06-02 00:00:00","","2022-06-02 00:00:00","","","VIOL. RESOLVED","(6/3/2022 7:41 AM DBK)I conducted an inspection on 6/2/22 and the sign has been removed. Complied.","","DBK:2206030741123576","","2022-06-03 00:00:00","07:41","DBK","","","0","00000000AB248A5B","2871275089","","","","0"
"CE2022-0033","","SITE VISIT","DBK","2022-06-10 00:00:00","","2022-06-10 00:00:00","","","VIOLATION CONFIRMED","","","DBK:2206130828088486","","2022-06-13 00:00:00","08:28","DBK","","","0","00000000AB75539D","2876593051","","","","0"
"CE2022-0033","OVERGROWN OLEANDERS","VERIFY VIOLATION","DBK","2022-06-10 00:00:00","","2022-06-10 00:00:00","","","VIOLATION CONFIRMED","","","DBK:2206130828098487","","2022-06-13 00:00:00","08:28","DBK","","","0","00000000AB7557C8","2876593054","","","","0"
"CE2022-0033","OLEANDERS TRIMMED BACK","COMPLIANCE","DBK","2022-06-27 00:00:00","","2022-06-27 00:00:00","","","VIOLATION RESOLVED","","","DBK:2206281018250313","","2022-06-28 00:00:00","10:18","DBK","","","0","00000000AC3E6DA5","2889770734","","","","0"
"CE2022-0042","Business verified","VERIFY VIOLATION","DBK","2022-08-02 00:00:00","","2022-08-02 00:00:00","","","VIOLATION CONFIRMED","(8/4/2022 3:21 PM DBK)I drove to the location and observed a sign for R2 Turf at the entrance. There is a large amount of rolled astroturf, etc. on the parcel, and work trucks.","","DBK:2208040320300388","","2022-08-04 00:00:00","15:20","DBK","","","0","00000000AE34322D","2922656022","","","","0"
"CE2022-0045","No violations observed","SITE VISIT","DBK","2022-09-01 00:00:00","","2022-09-01 00:00:00","10:00","","NO VIOLATION","(9/1/2022 12:44 PM DBK)I arranged to have Deputy Reeves meet me at the property at 1000 today. We met and nocked on the front door. We spoke with owner Victoria Allen. I advised her of the concerns and she allowed Reeves and I to inspect her property. She did not join us. I walked around the RV (5th wheel). there are no signs of it being occupied. It is not connected to any utilities and there are no personal affects near it.------ There is a small amount of junk in differnt areas of the property, but not enough to constitute a violation. I did not observe any rodents in or near the junk.(9/1/2022 12:47 PM DBK)I left a flyer on her front door from the Yolo County Landfill that outlines the items she could take to the landfill for free.","","DBK:2209011239204420","","2022-09-01 00:00:00","12:39","DBK","","","0","00000000AFA3F92D","2946744438","","","","0"
"CE2011-0001","","FOLLOW UP","PT","2013-09-30 00:00:00","","2013-10-02 00:00:00","","","VIOL. RESOLVED","(10/2/2013 8:58 AM DG)(9/30/2013 9:58:07 AM DG) Action Created(9/30/2013 9:58 AM DG) Permit BP2011-0101 issued on 2/11/2011.(9/30/2013 9:58 AM DG)Permit was finaled by RF on 5/3/2011.","","DG:1310020857200046","","2013-10-02 00:00:00","08:57","DG","","","0","000000000E1BD08D","236703787","","","","0"
"CE2020-0010","","SITE VISIT","JOD","2020-02-10 00:00:00","","2020-02-10 00:00:00","","45","VIOLATION CONF.","","","JOD:2002111052298987","","2020-02-11 00:00:00","10:52","JOD","","","0","0000000085578A71","2237100515","","","","0"
"CE2020-0010","","VERIFY VIOLATION","JOD","2020-02-10 00:00:00","","2020-02-10 00:00:00","","","VIOLATION CONF.","","","JOD:2002111052298988","","2020-02-11 00:00:00","10:52","JOD","","","0","00000000857783FD","2237100518","","","","0"
"CE2019-0028","","SITE VISIT","JOD","2020-06-03 00:00:00","","2020-06-03 00:00:00","","30","VIOLATION CONF.","","","JOD:2006051207418991","","2020-06-05 00:00:00","12:07","JOD","","","0","0000000088DB78AD","2296084598","","","","0"
"CE2019-0028","","VERIFY VIOLATION","JOD","2020-06-03 00:00:00","","2020-06-03 00:00:00","","","VIOLATION CONF.","","","JOD:2006051207418992","","2020-06-05 00:00:00","12:07","JOD","","","0","0000000088DB787B","2296084601","","","","0"
"CE2019-0028","","LETTER DRAFTING","JOD","2020-06-05 00:00:00","","2020-06-05 00:00:00","","30","","","","JOD:2006051208158993","","2020-06-05 00:00:00","12:08","JOD","","","0","0000000088DB795F","2296084654","","","","0"
"CE2020-0031","","SITE VISIT","JOD","2020-06-15 00:00:00","","2020-06-15 00:00:00","","30","VIOLATION CONF.","","","JOD:2006150232235611","","2020-06-15 00:00:00","14:32","JOD","","","0","0000000089368B77","2302053089","","","","0"
"CE2020-0031","","VERIFY VIOLATION","JOD","2020-06-15 00:00:00","","2020-06-15 00:00:00","","","VIOLATION CONF.","","","JOD:2006150232235612","","2020-06-15 00:00:00","14:32","JOD","","","0","0000000089368AEA","2302053096","","","","0"
"CE2020-0031","","SITE VISIT","JOD","2020-07-07 00:00:00","","2020-07-07 00:00:00","","","","(7/7/2020 1:56 PM JOD)Dear Mr. Mouhcine, Thank you for your response and the work that has been done on site. The extension  to the end of the month that was requested is granted and if you could please contact me when the work is completed and after a final inspection we could close this case.Thank you again,John Desario","","JOD:2007070155019547","","2020-07-07 00:00:00","13:55","JOD","","","0","000000008A15D7BE","2316687146","","","","0"
"104","CASE CLOSED","COMPLIANCE","LG","2019-06-11 00:00:00","09:00","2019-06-11 00:00:00","10:00","","NO VIOLATION","(6/11/2019 11:35 AM LG)CASE CLOSED PER STATUS","","LG:1906111135003469","","2019-06-11 00:00:00","11:35","LG","","","0","0000000079775698","2037864042","","","","0"
"106","MIGRA CLOSED","COMPLIANCE","LG","2019-06-11 00:00:00","","2019-06-11 00:00:00","10:00","","VIOL. RESOLVED","(6/11/2019 11:46 AM LG)NO NEW COMPLAINTS","","LG:1906111146043538","","2019-06-11 00:00:00","11:46","LG","","","0","000000007977AE5B","2037886481","","","","0"
"CE2019-0028","","SITE VISIT","JOD","2019-06-12 00:00:00","","2019-06-12 00:00:00","","30","VIOLATION CONF.","","","LG:1906131222376609","","2019-06-13 00:00:00","12:22","LG","","","0","0000000079C03AEA","2040703634","","","","0"
"CE2011-0003","","COMPLIANCE","","2011-05-23 00:00:00","","2011-05-23 00:00:00","","","NO VIOLATION","(5/23/2011 3:42 PM RF)Confirmed with California Housing & Developement no permit required by our jurisdiction. Called owner to confirm that it does not fall within our regulation.","","RF:1105230340253752","","2011-05-23 00:00:00","15:40","RF","","","0","00000000018A8A5B","25856478","","","",""
"CE2020-0045","","SITE VISIT","TD","2020-10-19 00:00:00","09:00","2020-10-19 00:00:00","11:00","","VIOLATION CONF.","","","TD:2010200811140796","","2020-10-20 00:00:00","08:11","TD","","","0","000000008EA6FD10","2393300893","","","","0"
"CE2020-0045","","VERIFY VIOLATION","TD","2020-10-19 00:00:00","","2020-10-19 00:00:00","","","VIOLATION CONF.","","","TD:2010200811140797","","2020-10-20 00:00:00","08:11","TD","","","0","000000008EA6DFA2","2393300896","","","","0"
