name,policy,authorization,adopted,revised,expires,tier_base_qty,tier_base_fee,rate,unit,rate_check,budget_unit_1,budget_unit_1_share,budget_unit_2,budget_unit_2_share
Deferred Submittal Request,,H&S 17951,,6/26/2018,,0,0,134,each request,134.00 / Each Request,1,1,1,0
Demolition,,H&S 17951,,6/23/2020,,0,0,434,each building,434.00 / Per Building,1,1,1,0
Expedited Plan Review,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,1.5,$1 of original plan review fee,1.5 times the original plan review fee,1,1,1,0
Moved Structure (In addition to permit fees),,H&S 17951,6/5/2007,5/17/2011,,0,0,585,each permit,585.00 / Per Permit,1,1,1,0
Other Requested Inspections,,"H&S 17951, GC 66014, YCC 7-1.03",,6/26/2018,,0,0,1.5,each hour,145.00 / per hour (min. 1.5 hours),1,1,1,0
Patio Cover Enclosed/Trellis,"Use ""Simple Permits: 2 Inspections""",H&S 17951,,6/26/2018,,0,0,12,each permit,434.00 / Flat Fee,1,1,1,0
"Patio Deck, Uncovered","Use ""Simple Permits: 2 Inspections""",H&S 17951,,6/23/2020,,0,0,10,each permit,434.00 / Flat Fee,1,1,1,0
Permit Extension Request,"Use ""Inspections - Hourly""",H&S 17951,,6/26/2018,,0,0,12,each request,101.00 / Each Request,1,1,1,0
Permit Reviews and Requests,,"GC66014, YCC 7-1.03",,6/26/2018,,0,0,149,each hour,"149.00 / Per Hour, Actual Cost",1,1,1,0
Plan Check Extension Request,"Use ""Plan Review - Hourly""",H&S 17951,,6/26/2018,,0,0,12,each request,76.00 / Each Request,1,1,1,0
Plan Review Fee-Master plan development after model approval      (1 hr minimum),"Use ""Plan Review - Hourly""","H&S 17951, GC 66014, YCC 7-1.03",,6/26/2018,,0,0,12,each hour,149.00 / per hour,1,1,1,0
Plan Review Fee-Single Family/Garages,,"H&S 17951, YCC 7-1.03",2/1/1985,6/28/2005,,0,0,0.5,$1 of fee for a new permit,65% of building permit fee up to two reviews,1,1,1,0
Pre-Application Review,,"H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,414,each meeting,414.00 / Per Meeting,1,1,1,0
Re-Inspection Fee - 1.5 Hour Minimum,,"H&S 17951, GC 66014, YCC 7-1.03",,6/26/2018,,1.5,223.5,145,each hour,"145.00 / Per Hour, Minimum 1.5 Hours",1,1,1,0
Re-Instate Permit Fee (validated),"Use ""Plan Review - Hourly""","H&S 17951, YCC 7-1.03",6/26/2018,,,0,0,0.5,$1 of fee for a new permit,1/2 of all related fees for a new permit,1,1,1,0
"Re-Roof (Residential, Commercial, Multi-Family)","Use ""Simple Permits: 2 Inspections""",H&S 17951,,6/23/2020,,0,0,10,each building,434.00 / Per Building,1,1,1,0
Records research,,H&S 17951,,6/26/2018,,0,0,149,each hour,149.00 / Per Hour,1,1,1,0
Site inspection,"Use ""Inspections - Hourly""",H&S 17951,,6/26/2018,,0,0,12,each hour,149.00 / Per Hour,1,1,1,0
Soil review,,H&S 17951,,6/26/2018,,0,0,149,each hour,149.00 / Per Hour,1,1,1,0
Special inspection request and/or pre-construction meeting,"Use ""Inspections - Hourly""",H&S 17951,,6/26/2018,,2,298,149,each hour,149.00 / Per Hour (min. 2 hours),1,1,1,0
Temporary Occupancy,"Use ""Inspections - Hourly""","H&S 17951, GC66014, YCC 7-1.03",,6/23/2020,,0,0,10,each permit,491.00 / Flat Fee,1,1,1,0
Window Installation and/or Replacement (Covers 1 Inspection),,H&S 17951,,6/26/2018,,0,0,217,each permit,217.00 / Flat Fee,1,1,1,0
"Install, Alter, Add Services  and/or Sub-Panel - over 1,001 amps","Use ""Service- or Sub-Panel Tier 2, all others""","H&S 17951, YCC 7-1.03",,6/23/2020,,0,0,10,each permit,434.00 / Per Permit,1,1,1,0
"Install, Alter, Add Services 0-325 amp/panel",,"H&S 17951, YCC 7-1.03",,6/23/2020,,0,0,290,each permit,290.00 / Per Permit,1,1,1,0
"Install, Alter, Add Services 325-1,000 amp/panel",,"H&S 17951, YCC 7-1.03",,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
"Photovoltaic/Solar System, Commercial - Ground mounted",,H&S 17951,,6/26/2018,,3,435,145,each hour,145.00 / Per Hour (min. 3 hours),1,1,1,0
"Photovoltaic/Solar System, Commercial - Roof mounted",,H&S 17951,,6/26/2018,,0,0,434,each permit,434.00 / Flat Fee,1,1,1,0
"Photovoltaic/Solar System, Residential - Ground mounted",,H&S 17951,,6/26/2018,,0,0,145,each hour,145.00 / Per Hour (min. 2 hours),1,1,1,0
"Photovoltaic/Solar System, Residential - Roof mounted",,H&S 17951,,7/24/2018,,0,0,290,each permit,290.00 / Flat Fee,1,1,1,0
Temporary Electric,"Use ""Service- or Sub-Panel""",H&S 17951,,6/26/2018,,0,0,12,each permit,217.00 / Per Permit,1,1,1,0
Additional Fire Inspections,,"H&S17951, GC66014",,6/26/2018,,0,0,223,each inspection,223.00 / Per Inspection,1,1,1,0
Additional Fire Plan Review (over 2 reviews),,"H&S17951, GC66014",,6/26/2018,,0,0,223,each review,223.00 / Per Review,1,1,1,0
Commercial Kitchen Hood System / Special Systems,,"H&S17951, GC66014",,6/26/2018,,0,0,446,each permit,446.00 / Per Permit,1,1,1,0
"Commercial Sprinkler System - 201+ Sprinkler Heads (underground systems included, new systems only)",,"H&S17951, GC66014",,6/23/2020,,0,0,1189,each permit,1189.00 / Per Permit,1,1,1,0
Commercial/Residential Sprinkler Add/Alternative,,"H&S17951, GC66014",6/26/2018,,,0,0,446,each permit,446.00 / Per Permit,1,1,1,0
Fire Alarm System Plan Review Fee,,"H&S17951, GC66014",,6/26/2018,,0,0,595,each permit,595.00 / Per Permit,1,1,1,0
Fire Construction Plan Review/Special Review,,"H&S17951, GC66014",,6/26/2018,,0,0,446,each permit,446.00 / Per Permit,1,1,1,0
Fire Inspection Fee,,"H&S17951, GC66014",,6/23/2020,,0,0,297,each permit,297.00 / Per Permit,1,1,1,0
"Fire Inspection Fee - Underground, Hazmat, Hydrant, Tanks, Tents, Special Events, Fire Investigation, Weed/ Fire Hazard Abatement",,"H&S17951, GC66014",6/26/2018,,,0,0,595,each permit,595.00 / Per Permit,1,1,1,0
Flammable or Combustible Liquid Tank  - Installation or Removel (Above Ground or Underground),,"H&S17951, GC66014",,6/26/2018,,0,0,595,each permit,595.00 / Per Permit,1,1,1,0
Residential Fire Sprinklers (New Buildings),,"H&S17951, GC66014",,6/26/2018,,0,0,595,each permit,595.00 / Per Permit,1,1,1,0
"Grading Inspection: 1 - 10,000 Cubic Yards",,H&S 17951,,6/26/2018,,0,0,290,each permit,290.00 / Flat Fee,1,1,1,0
"Grading Inspection: 10,001 - 100,000 Cubic Yards",,H&S 17951,,6/26/2018,,0,0,434,each permit,434.00 / Flat Fee,1,1,1,0
"Grading Inspection: 100,000+ Cubic Yards",,H&S 17951,,6/23/2020,,0,0,579,each permit,579.00 / Flat Fee,1,1,1,0
Approved Fireplace Insert,,"H&S 17951, YCC 7-1.03",,6/26/2018,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
E.P.A. Approved Freestanding Wood Stove,,"H&S 17951, YCC 7-1.03",,6/26/2018,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
"HVAC Installation, Commercial: Furnace and/or A/C Condenser - over 3 units",,H&S 17951,,6/26/2018,,0,0,145,each unit,145.00 / Per Unit,1,1,1,0
"HVAC Installation, Commercial: Furnace, A/C Condenser - up to 3 units",,H&S 17951,,6/26/2018,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
"HVAC Installation, Residential: Furnace and/or A/C Condenser",,H&S 17951,,6/26/2018,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
Masonry fireplace with appliance insert,,H&S 17951,,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
Propane Tank Installation,,H&S 17951,,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
Temporary Gas,,H&S 17951,,6/26/2018,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
Water Heater Installation - up to 2 units,,H&S 17951,,6/26/2018,,0,0,130,each permit,130.00 / Per Permit,1,1,1,0
Commercial Pool and/or Spa,,H&S 17951,,6/26/2018,,0,0,1,$1 of Construction Valuation,Based on Valuation,1,1,1,0
Demolition of Swimming Pool,,H&S 17951,6/26/2018,,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
Pool and/or Spa remodel,,H&S 17951,,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
Solar Heating for Pool / Spa,,H&S 17951,6/26/2018,,,0,0,217,each permit,217.00 / Per Permit,1,1,1,0
Spa/Hot Tub Permit-Basic,,H&S 17951,,6/23/2020,,0,0,434,each permit,434.00 / Per Permit,1,1,1,0
Swimming Pool Permit-Residential,,H&S 17951,,6/23/2020,,0,0,869,each permit,869.00 / Per Permit,1,1,1,0
31-60 days overdue,,H&S 101325,6/23/2020,,,0,0,0.1,$1 of overdue fees,10.00 / percent,1,1,1,0
61-90 days overdue,,H&S 101325,6/23/2020,,,0,0,0.1,$1 of overdue fees,10.00 / percent,1,1,1,0
Administrative Citation,,"GC66104, 54988",7/20/2004,5/17/2011,,0,0,1300,each citation,1300.00 / each citation,1,1,1,0
Administrative Citation Appeal Hearing Deposit,,YCC 1-5.09,6/25/2019,,,0,0,1000,each hearing,"1000.00 / Deposit, Actual Cost",1,1,1,0
"Code Enforcement Hourly Rate-additional inspections, hearings (Min 1 hr.)",,GC 54988,,6/26/2018,,0,0,149,each hour,149.00 / Per Hour,1,1,1,0
Delinquent Account Referral Fee,,H&S 101325,6/23/2020,,,0,0,0.25,$1 of overdue fees,25.00 / percent,1,1,1,0
Hearing Officer Hourly Rate,,YCC 1-5.09,6/25/2019,,,0,0,220,each hour,220.00 / 0,1,1,1,0
Initial Code Enforcement Investigation Fee,,GC54988; H&S17951,,6/26/2018,,0,0,223,each case,223.00 / Per Case,1,1,1,0
Notice of Violation,,GC66104,7/20/2004,5/17/2011,,0,0,650,each violation,650.00 / each violation,1,1,1,0
Zoning Violation Application (50%) of penalty),,GC65354.5,10/2/1993,10/2/1996,,0,0,0.5,$1 of Application Fee,50% of application fee,1,1,1,0
,,,,,,0,0,,each,,1,1,1,0
,,,,,,0,0,,each,,1,1,1,0
,,,,,,0,0,,each,,1,1,1,0
,,,,,,0,0,,each,,1,1,1,0
Multi-family (2 or more) Davis,"Refer to County FSA Fee ordinance and the fee study driving the values to determine fee applicability. Appeals are to be directed to Scott Doolittle, Leslie Lindbo, and Mark Bryan.","GC66000, 66001",4/15/1991,7/26/2016,,0,0,3180,each unit,3180.00 / per unit,1,1,1,0
Single Family Housing-Davis,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,4290,each dwelling,4290.00 / dwelling,1,1,1,0
Industrial Davis,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,334,"each 1,000 square feet","334.00 / per 1,000 sq. ft.",1,1,1,0
Office Davis,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,666,"each 1,000 square feet","666.00 / per 1,000 sq. ft.",1,1,1,0
Commercial Davis,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,500,"each 1,000 square feet","500.00 / per 1,000 sq. ft.",1,1,1,0
Warehouse Davis,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,200,"each 1,000 square feet","200.00 / per 1,000 sq. ft.",1,1,1,0
Multi-family (2 or more) West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,3267,each unit,3267.00 / per unit,1,1,1,0
Single Family Housing-West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,4407,each dwelling,4407.00 / dwelling,1,1,1,0
Industrial  West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,334,"each 1,000 square feet","334.00 / per 1,000 sq. ft.",1,1,1,0
Office West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,666,"each 1,000 square feet","666.00 / per 1,000 sq. ft.",1,1,1,0
Commercial West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,500,"each 1,000 square feet","500.00 / per 1,000 sq. ft.",1,1,1,0
Warehouse West Sacramento,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,200,"each 1,000 square feet","200.00 / per 1,000 sq. ft.",1,1,1,0
Multi-family (2 or more) Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,3267,each unit,3267.00 / per unit,1,1,1,0
Single Family Housing-Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,4407,each dwelling,4407.00 / dwelling,1,1,1,0
Industrial Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,334,"each 1,000 square feet","334.00 / per 1,000 sq. ft.",1,1,1,0
Office Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,666,"each 1,000 square feet","666.00 / per 1,000 sq. ft.",1,1,1,0
Commercial Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,500,"each 1,000 square feet","500.00 / per 1,000 sq. ft.",1,1,1,0
Warehouse Winters,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,200,"each 1,000 square feet","200.00 / per 1,000 sq. ft.",1,1,1,0
Multi-family (2 or more) Woodland,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,2312,each unit,2312.00 / per unit,1,1,1,0
Single Family Housing-Woodland,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,3118,each dwelling,3118.00 / dwelling,1,1,1,0
Industrial  Woodland,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,334,"each 1,000 square feet","334.00 / per 1,000 sq. ft.",1,1,1,0
Office Woodland,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,666,"each 1,000 square feet","666.00 / per 1,000 sq. ft.",1,1,1,0
Commercial Woodland,,"GC 66000,66001",4/15/1991,7/26/2016,,0,0,500,"each 1,000 square feet","500.00 / per 1,000 sq. ft.",1,1,1,0
Warehouse Woodland,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,200,"each 1,000 square feet","200.00 / per 1,000 sq. ft.",1,1,1,0
Multi-family (2 or more) Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,4830,each unit,4830.00 / per unit,1,1,1,0
Single Family Housing-Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,6515,each dwelling,6515.00 / dwelling,1,1,1,0
Industrial Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,626,"each 1,000 square feet","626.00 / per 1,000 sq. ft.",1,1,1,0
Office Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,1247,"each 1,000 square feet","1247.00 / per 1,000 sq. ft.",1,1,1,0
Commercial Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,936,"each 1,000 square feet","936.00 / per 1,000 sq. ft.",1,1,1,0
Warehouse Unincorporated,,"GC66000, 66001",4/15/1991,7/26/2016,,0,0,375,"each 1,000 square feet","375.00 / per 1,000 sq. ft.",1,1,1,0
