"BUSINESS_NO","COMPANY","MAIL_ADDRESS1","MAIL_ADDRESS2","MAIL_CITY","MAIL_STATE","MAIL_ZIP","LOC_ADDRESS1","LOC_ADDRESS2","LOC_CITY","LOC_STATE","LOC_ZIP","PHONE","FAX","EMERGENCY","BUSINESS_TYPE","SIC_1","SIC_2","SIC_3","OWNERSHIP_TYPE","TAX_ID","RESALE_ID","ST_LIC_NO","ST_LIC_ISS","ST_LIC_EXP","WRKR_COMP","W_COMP_NO","W_COMP_ISS","W_COMP_EXP","NOTES","COMPANY_PRINT_AS","EMPLOYEES","TEXTFIELD1","TEXTFIELD2","TEXTFIELD3","TEXTFIELD4","TEXTFIELD5","TEXTFIELD6","TEXTFIELD7","TEXTFIELD8","CHECKBOX1","CHECKBOX2","CHECKBOX3","CHECKBOX4","CHECKBOX5","CHECKBOX6","CHECKBOX7","CHECKBOX8","TAG","CLASSIFICATION","EMAIL","OWNER_NAME","SITE_STREETID","SITE_NUMBER","SITE_STREETNAME","SITE_UNIT_NO","SITE_CITY","SITE_STATE","SITE_ZIP","SITE_ALTERNATE_ID","SITE_GEOTYPE","SITE_APN","SITE_LOT_NO","SITE_BLOCK","SITE_TRACT","SITE_SUBDIVISION","SITE_DESCRIPTION","LIAB_CARRIER","LIAB_NO","LIAB_ISS","LIAB_EXP","DEFAULT_INSPECTOR","LOCKID","RECORDID","LOC_RECORDID","DEPOSITTYPE","HISTORICAL_APN","BUSINESS_SUBTYPE","FEES_CHARGED","FEES_PAID","BALANCE_DUE","REFERENCE_NO","update_originator_id","update_timestamp","create_timestamp","insert_originator_id"
"12395","ABLE MAINTENANCE INC","3224 REGIONAL PARKWAY","","Santa Rosa","CA","95403","3224 REGIONAL PARKWAY","","Santa Rosa","CA","95403","707 545-55","","","CONTRACTOR","","","","CORPORATION","","","312844","","","","","","","","","","312844","C-10","4/30/2018","","","","","","","","","","","","","","","","marty@servicestationsystems.com","MARTY WEITHMAN","","3224","REGIONAL PARKWAY","","Santa Rosa","CA","95403","","","","","","","","","","","","","","","AME:1610130949035537","","","","ELECTRICAL","208.69999999999999","138.80000000000001","69.900000000000006","","0","0000000047EE536F","1177061102","0"
"12398","GRB Builders","907 HOMEWOOD DRIVE","","WOODLAND","CA","95695","907 HOMEWOOD DRIVE","","WOODLAND","CA","95695","5309083238","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","730281","","","","","","","","GRB Builders","","730281","B","5/31/2018","","","","","","","","","","","","","","","","ann@grbbuilders.com","Glen Brunson","","907","HOMEWOOD DRIVE","","WOODLAND","CA","95695","","","","","","","","","","","","","","","AME:1610171104457756","","","","CONSTRUCTION","281.60000000000002","281.60000000000002","0","","0","000000009ACE5F4C","1179034199","0"
"12399","JD's Landscaping","3215 West Capital #3","","West Sacramento","CA","95691","3215 West Capital #3","","West Sacramento","CA","95691","9165595004","","","CONTRACTOR","","","","LIMITED LIABILITY CORPORATION","","","","","","","","","","","JD's Landscaping","","","","","","","","","","","","","","","","","","","","","Julian Sandoval","","3215","West Capital","#3","West Sacramento","CA","95691","","","","","","","","","","","","","","","AME:1610171146317863","","","","LANDSCAPING","138.80000000000001","138.80000000000001","0","","0","000000009ACE5FB2","1179065442","0"
"12404","Resistance Electric","439 Placer Pl","","WOODLAND","CA","95695","439 Placer Pl","","WOODLAND","CA","95695","5303219924","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","1019263","","","","","","","","Resistance Electric","","1019263","C-10","10/31/2022","","","","","","","","","","","","","","","","resistanceelectric@gmail.com","Brandon Baird","","439","Placer","Pl","WOODLAND","CA","95695","","","","","","","","","","","","","","","AME:1610240321274799","","","","ELECTRICAL","427.16000000000003","427.16000000000003","0","","0","00000000A6E14CB3","1185173977","0"
"12411","ANNUAL FIRE & SAFETY","P.O. BOX 5675","","EL DORADO HILLS","CA","95762","P.O. BOX 5675","","EL DORADO HILLS","CA","95762","9169338828","","","CONTRACTOR","","","","CORPORATION","","","1003088","","","","","","","","ANNUAL FIRE & SAFETY","","1003088","C-16","4/30/2017","","","","","","","","","","","","","","","","mooni@afsfire1.com","MOONI SANWAL","","","P.O. BOX 5675","","EL DORADO HILLS","CA","95762","","","","","","","","","","","","","","","AME:1611071047025525","","","","FIRE PROTECTION","208.69999999999999","208.69999999999999","0","","0","000000009ACE6215","1193744988","0"
"12412","GENE SUN WAN CONSTRUCTION","3807 THERMIAC GULF WAY","","SACRMAMEMTP","CA","95834","3807 THERMIAC GULF WAY","","SACRMAMEMTP","CA","95834","9164752183","","","CONTRACTOR","","","","","","","","","","","","","","","GENE SUN WAN CONSTRUCTION","","963360","B","7/31/2017","","","","","","","","","","","","","","","","","GENE SUN WAN","","3807","THERMIAC GULF WAY","","SACRMAMEMTP","CA","95834","","","","","","","","","","","","","","","AME:1611081138586755","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009ACE6263","1195129055","0"
"12413","DeWitt Bros & Co Inc.","3243 INDUSTRIAL DR","","Yuba City,","CA","95993","3243 INDUSTRIAL DR","","Yuba City,","CA","95993","5307554334","","","CONTRACTOR","","","","CORPORATION","","","794030","","","","","","","","DeWitt Bros & Co, Inc.","","794030","A","4/30/2017","","","","","","","","","","","","","","","","dewittbrosandco@aol.com","Bradley DeWitt","","3243","INDUSTRIAL DR","","Yuba City,","CA","95993","","","","","","","","","","","","","","","AME:1611090846527260","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009ACE62A7","1195783284","0"
"12420","YOLO ELECTRIC","707 PLACER DR","","WOODLAND","CA","95695","707 PLACER DR","","WOODLAND","CA","95695","5309791607","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","879523","","","","","","","","YOLO ELECTRIC","","879523","C10","11/30/2017","","","","","","","","","","","","","","","","yoloelectric@gmail.com","PABLO HERNANDEZ","","707","PLACER DR","","WOODLAND","CA","95695","","","","","","","","","","","","","","","AME:1611210126544884","","","","ELECTRICAL","138.80000000000001","138.80000000000001","0","","0","000000009ACE6378","1204195430","0"
"12424","1 N DONE ROOFING SERVICES, INC.","12277 KIMBERLY RD","","Marysville","CA","95901","12277 KIMBERLY RD","","Marysville","CA","95901","5309338272","","","CONTRACTOR","","","","CORPORATION","","","978088","","","","","","","","1 N DONE ROOFING SERVICES, INC.","","978088","C39","11/30/2020","","","","","","","","","","","","","","","","1ndoneroofing@gmail.com","OCTAVIO GONZALEZ","","12277","KIMBERLY","RD","Marysville","CA","95901","","","","","","","","","","","","","","","AME:1611290937329937","","","","ROOFING","280.60000000000002","280.60000000000002","0","","0","000000009ACE63CC","1208920604","0"
"12431","UNITED SIGN SYSTEMS","5201 PENTECOST DR","","MODESTO","CA","95365","5201 PENTECOST DR","","MODESTO","CA","95365","2095431320","","","CONTRACTOR","","","","CORPORATION","","","718965","","","","","","","","UNITED SIGN SYSTEMS","","718965","C45","2/28/2018","","","","","","","","","","","","","","","","","GENE OWENS","","5201","PENTECOST DR","","MODESTO","CA","95365","","","","","","","","","","","","","","","AME:1612150105357543","","","","SIGNS","0","","0","","0","000000009ACEEA17","1223147662","0"
"12438","AITHR","793 CROCKET CT","","Brentwood","Ca","94513","793 CROCKET CT","","Brentwood","Ca","94513","9252195930","","","CONTRACTOR","","","","CORPORATION","","","1001047","","","","","","","(1/4/2017 2:41 PM AME)Aging in the home remodel","AITHR","","1001047","B","2/28/2017","","","","","","","","","","","","","","","","wibinstall@yahoo.com","DAVE ARNONE","","793","CROCKET CT","","Brentwood","Ca","94513","","","","","","","","","","","","","","","AME:1701040241163964","","","","GENERAL","138.80000000000001","138.80000000000001","0","","0","000000009ACEEBF6","1232943013","0"
"12453","SAMRA CONSTRUCTION","3340 LEONA CIR","","SACRAMENTO","CA","95834","3340 LEONA CIR","","SACRAMENTO","CA","95834","9164168891","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","480240","","","","","","","","SAMRA CONSTRUCTION","","480240","B","10/31/2017","","","","","","","","","","","","","","","","samra.construction@gmail.com","SINGH SAMRA","","3340","LEONA CIR","","SACRAMENTO","CA","95834","","","","","","","","","","","","","","","AME:1701300227384542","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009B078543","1249993324","0"
"12454","CSM Group of America, Inc.","444 West Michigan Ave., Suite 100","","Kalamazoo","MI","49007","444 West Michigan Ave., Suite 100","","Kalamazoo","MI","49007","2693772356","","","CONTRACTOR","","","","CORPORATION","","","1009378","","","","","","","","CSM Group of America, Inc.","","1009378","B","12/31/2017","","","","","","","","","","","","","","","","kris.wolf@csmgroup.com","Steve East","","444","West Michigan Ave., Suite 100","","Kalamazoo","MI","49007","","","","","","","","","","","","","","","AME:1702011012426300","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009B078599","1252162521","0"
"12456","CAPAY VALLEY FLORICULTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AME:1702021054197752","","","","","","","","","0","000000004AB835CD","1253585716","0"
"12465","California Design Solutions","3371 TUALITIN WAY","","RANCHO CORDOVA","CA","95670","3371 TUALITIN WAY","","RANCHO CORDOVA","CA","95670","9166129218","","","CONTRACTOR","","","","CORPORATION","","","906002","","","","","","","","California Design Solutions","","906002","C6, B","11/30/2019","","","","","","","","","","","","","","","","cdsremodeling@gmail.com","Ben Kondor","","3371","TUALITIN WAY","","RANCHO CORDOVA","CA","95670","","","","","","","","","","","","","","","AME:1702220142343110","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009B07889C","1269421746","0"
"12469","URSA Engineering, Inc.","21672 Gilbert Dr","","Palo Cedro","CA","96073","21672 Gilbert Dr","","Palo Cedro","CA","96073","5302415363","","","CONTRACTOR","","","","CORPORATION","","","726350","","","","","","","","URSA Engineering, Inc.","","726350","A","8/31/2018","","","","","","","","","","","","","","","","kevin@ursaengineering.com","Kevin Post","","21672","Gilbert Dr","","Palo Cedro","CA","96073","","","","","","","","","","","","","","","AME:1703020253340722","","","","ENGINEERING","138.80000000000001","138.80000000000001","0","","0","000000009B078980","1276196919","0"
"12476","LANDON ROBERTS CONSTRUCTION","230 I STREET","","LINCOLN","CA","95648","230 I STREET","","LINCOLN","CA","95648","9166776191","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","860313","","","","","","","","LANDON ROBERTS CONSTRUCTION","","860313","B","6/30/2019","","","","","","","","","","","","","","","","roberts9@surewest.net","LANDON ROBERTS","","230","I STREET","","LINCOLN","CA","95648","","","","","","","","","","","","","","","AME:1703201025230252","","","","CONSTRUCTION","138.80000000000001","138.80000000000001","0","","0","000000009B9A7E05","1291791489","0"
"12479","NEXUS ENERGY SYSTEMS","2810 HARBOR BLVD STE 201","","OXNARD","CA","93035","2810 HARBOR BLVD STE 201","","OXNARD","CA","93035","8057485607","","","CONTRACTOR","1522","","","CORPORATION","","","359060","","","","","","","","NEXUS ENERGY SYSTEMS","3","359060","B","07/31/2021","","","","","","","","","","","","","","","","tmorales@nexussolar.net","MICHAEL RIETKERK","","2810","HARBOR BLVD STE 201","","OXNARD","CA","93035","","","","","","","","","","","","","","","AME:1703210125131757","","","","CONSTRUCTION","630.74000000000001","630.74000000000001","0","","0","00000000B4A68654","1293165441","0"
"12584","ANGKOR HEATING AIR CONDITIONING","2043 DIJON ST","","Stockton","CA","95210","2043 DIJON ST","","Stockton","CA","95210","2096396930","","","CONTRACTOR","","","","PARTNERSHIP","","","962008","","","","","","","","ANGKOR HEATING AIR CONDITIONING","","962008","C20","06/30/19","","","","","","","","","","","","","","","","angkorheatandair@hotmail.com","SOMOTH PO","","2043","DIJON ST","","Stockton","CA","95210","","","","","","","","","","","","","","","ANE:1709190333213281","","","","HVAC","138.80000000000001","138.80000000000001","0","","0","000000009B10C738","1453834575","0"
"12618","Commercial Kitchen Services","388 W. Woodbridge Rd.","","Lodi,","CA","95242","388 W. Woodbridge Rd.","","Lodi,","CA","95242","2093653033","","","CONTRACTOR","","","","CORPORATION","","","1016487","","","","","","","","Commercial Kitchen Services","4","","","","","","","","","","","","","","","","","","","","Randy Fachner","","388","W. Woodbridge Rd.","","Lodi","CA","95242","","","","","","","","","","","","","","","ANE:1711071031582477","","","","REMODELING INTERIOR","137.80000000000001","137.80000000000001","0","","0","000000009B2D580C","1503791966","0"
"12640","JK Communications and Construction Inc.,","PO Box 62013","","Pheonix","AZ","85082","110 S. Priest Dr Suite 101","","Tempe","AZ","85281","4807368400","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","(1/5/2018 10:38 AM ANE)dba Kleven Construction","Kleven Construction","","861155","A","07-31-19","","","","","","","","","","","","","","","","wlusk@klevcon.com","Jerry Kleven","","110","S. Priest Dr Suite 101","","Tempe","AZ","85281","","","","","","","","","","","","","","","ANE:1801051037436161","","","","ELECTRICAL","190.31999999999999","190.31999999999999","0","","0","000000009B2D5DB8","1546350252","0"
"12649","VOID","","","","","","18016 WOOD DUCK ST","","Woodland","CA","95695","","","","ANIMAL BOARDING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KOLESAR FAM 2009 REV TRUST","","18016","WOOD DUCK ST","","Woodland","CA","95695","","PARCEL","025521004","","","","","","","","","","","","ANE:1801291120148539","YOLO:1102101329223693","","","","0","","0","","0","000000005D49204E","1564984995","0"
"12660","Westcoast Solar Energy","2280 Gravestein Hwy South","","Sebastopol","Ca","945472","2280 Gravestein Hwy South","","Sebastopol","CA","95472","7046646450","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","Westcoast Solar Energy","","963158","C10/46","07/31/18","","","","","","","","","","","","","","","","michelee@westcoastsolarenergy.com","Nate Gulbransen","","2280","Gravestein Hwy South","","Sebastopol","CA","95472","","","","","","","","","","","","","","","ANE:1803021024097831","","","","SOLAR/PV","141.80000000000001","141.80000000000001","0","","0","000000009B6F1FC3","1592193970","0"
"12661","Advance Wireless & Logistics","1707 HIDDEN CIRCLE","","SHINGLE SPRINGS","CA","95682","1707 Hidden Circle","","Cameron Park,","CA","95682","9168074287","","","CONTRACTOR","","","","CORPORATION","","","1002720","","","","","","","","","5","1002720","B","04/30/19","","","","","","","","","","","","","","","","","Russ Alm","","1707","Hidden Circle","","Shingle Springs","CA","95682","","","","","","","","","","","","","","","ANE:1803021049577934","","","","TELECOMMUNICATION","141.80000000000001","141.80000000000001","0","","0","000000009B6F2008","1592251500","0"
"12666","Responsible Solar","6023 Churn Creek Road","","Redding","CA","96002","6023 Churn Creek Road","","Redding","CA","96002","5303553725","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","","","","","","","","","Responsible Solar, INC.","5","974916","C-46","08/31/18","","","","","","","","","","","","","","","","seth@responsiblesolar.com","Andy Ooms","","6023","Churn Creek Road","","Redding","CA","96002","","","","","","","","","","","","","","","ANE:1803081220223700","","","","SOLAR/PV","141.80000000000001","141.80000000000001","0","","0","000000009B6FEC03","1597335909","0"
"12669","Shears Flooring Installation, INC.","10439 Joplin Lane","","Stockton","CA","95212","10439 Joplin Lane","","Stockton","CA","95212","","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","Shears Flooring Istallation, INC","","972863","","06/30/18","","","","","","","","","","","","","","","","","","","10439","Joplin Lane","","Stockton","CA","95212","","","","","","","","","","","","","","","ANE:1803091106075428","","","","CONSTRUCTION","141.80000000000001","141.80000000000001","0","","0","000000009B700479","1598476406","0"
"12673","Guzman Electric Inc","6500 Asher Lane # 100","","Sacramento","CA","95828","6500 Asher Lane #100","","Sacramento","CA","95828","9163861249","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","Guzman Electric Inc","","653669","C","10/31/19","","","","","","","","","","","","","","","","accounting@guzmanelectric.com","Augustin Guzman","","6500","Asher Lane #100","","Sacramento","CA","95828","","","","","","","","","","","","","","","ANE:1803140250409887","","","","ELECTRICAL","190.31999999999999","190.31999999999999","0","","0","000000009B70053C","1601934527","0"
"12680","Reamer Line Construction LLC","P.O. Box 124","","Clarksburg","CA","95612","36349 N Center St","","Clarksburg","CA","95612","","","","CONTRACTOR","","","","LIMITED LIABILITY CORPORATION","","","","","","","","","","","Reamer Line Construction","","1026004","C-10","04/30/2019","","","","","","","","","","","","","","","","james.reamer@yahoo.com","James Reamer","","36349","N Center St","","Clarksburg","CA","95612","","","","","","","","","","","","","","","ANE:1803211126347546","","","","ELECTRICAL","332.12","332.12","0","","0","000000009B7006BB","1607778325","0"
"12681","Northern California Tile and Stone INC","6341 Sky Creek Drive Suite 400","","Sacramento","CA","95828","6341 Sky Creek Dr #400","","Sacramento","CA","95828","","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","Northern California Tile and Stone INC","","938930","C54","10/31/19","","","","","","","","","","","","","","","","","Roger Leasure","","6341","Sky Creek Dr #400","","Sacramento","CA","95828","","","","","","","","","","","","","","","ANE:1803260904151715","","","","CONSTRUCTION","238.84","238.84","0","","0","000000009B700722","1611117473","0"
"12701","EVERGREEN SOLAR","8328 OLIVINE AVENUE","","CITRUS HEIGHTS","CA","95610","8328 OLIVINE AVENUE","","CITRUS HEIGHTS","CA","95610","","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","","","","","","","","","EVERGREEN SOLAR","","730423","B","12/31/18","","","","","","","","","","","","","","","","","","","8328","OLIVINE AVENUE","","CITRUS HEIGHTS","CA","95610","","","","","","","","","","","","","","","ANE:1804190327506334","","","","SOLAR/PV","141.80000000000001","141.80000000000001","0","","0","000000009B70B9D3","1632595085","0"
"12706","SMART ENERGY SOLUTIONS","1331 TERMINAL STREET","","West Sacramento","CA","95691","1331 TERMINAL STREET","","West Sacramento","CA","95691","9167994938","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","huperandrey@yahoo.com","Andrey Vakulchik","","1331","TERMINAL STREET","","West Sacramento","CA","95691","","","","","","","","","","","","","","","ANE:1804271007214093","","","","CONSTRUCTION","141.80000000000001","141.80000000000001","0","","0","000000009B71B629","1639690989","0"
"12709","PRO-PLUMBING","7100 VAN MAREN LANE","","Citrus Heights","CA","95621","7100 VAN MAREN LANE","","Citrus Heights,","CA","95621","","","","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","12709","","","","","","","","","","1001202","C36","02/28/2021","","","","","","","","","","","","","","","","","KEMAL FAZLIC","","7100","VAN MAREN LANE","","Citrus Heights","CA","95621","","","","","","","","","","","","","","","ANE:1805070951103710","","","","PLUMBING","332.12","332.12","0","","0","000000009B71B6E1","1647628746","0"
"12710","GORDOS POOL PLASTERING","1964 OBANION ROAD","","Yuba City,","CA","95993","1964 OBANION ROAD","","Yuba City,","CA","95993","9169557402","","9162407242","CONTRACTOR","","","","SOLE PROPRIETORSHIP","","","12710","","","","","","","","","3","1026957","C53","05/31/2019","","","","","","","","","","","","","","","","gordospoolplastering@gmail.com","JUAN RAMIREZ","","1964","OBANION ROAD","","Yuba City,","CA","95993","","","","","","","","","","","","","","","ANE:1805071103543972","","","","POOL/SPA","190.31999999999999","190.31999999999999","0","","0","000000009B75FE0A","1647648671","0"
"12717","SACRAMENTO PRESTIGE GUNITE, INC","8634 ANTELOPE N. RD.","","Antelope","CA","95843","8634 ANTELOPE","","Antelope","CA","95843","9167230404","","","CONTRACTOR","1771","","","CORPORATION","","","","","","","","","","","","","910574","D06","02/28/2022","","","","","","","","","","","","","","","","mike.master@prestige-gunite.com","ERIC SCHMIDT","","8634","ANTELOPE","","Antelope","CA","95843","","","","","","","","","","","","","","","ANE:1805140345150046","","","","POOL/SPA","287.36000000000001","287.36000000000001","0","","0","00000000A6E24E23","1651988571","0"
"12726","ALL WELL ABANDONMENT","3369 FITZGERALD ROAD","","RANCHO CORDOVA","CA","95742","3369 FITZGERAL ROAD","","RANCHO CORDOVA","CA","95742","9163639355","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","ALL WELL ABANDONMENT","","848359","C57","11/30/2018","","","","","","","","","","","","","","","","robslagle@att.net","","","3369","FITZGERAL ROAD","","RANCHO CORDOVA","CA","95742","","","","","","","","","","","","","","","ANE:1806041051330952","","","","SEPTIC","141.80000000000001","141.80000000000001","0","","0","000000009B76021D","1673756456","0"
"12728","PHOENIX ENERGY SOLUTIONS, INC","3332 HEIGHTS DRIVE # 220","","Cameron Park,","CA","95682","3332 HEIGHTS DRIVE # 220","","Cameron Park,","CA","95682","9167165650","","","CONTRACTOR","","","","CORPORATION","","","","","","","","","","","PHOENIX ENERY SOLUTIONS","","981354","C-20/C-46","02/28/2019","","","","","","","","","","","","","","","","admin@gophoenixenergy.com","MICAH GILMORE","","3332","HEIGHTS DRIVE","# 220","Cameron Park,","CA","95682","","","","","","","","","","","","","","","ANE:1806060105503522","","","","SOLAR/PV","0","","0","","0","000000009B76043E","1686488969","0"
