busiNumber,Status,busiType,busiSubType,busiCompanyName,OWNERSHIP_TYPE,busiTaxID,busiBillTo,busiOwnerName,busiEmployQty,busiSIC,busiWorkComp,busiWorkCompNumber,busiWorkCompISS,busiWorkCompExp,busiNotes,busiCSLBNumber,busiCSLBExp,,busiCSLBNumber,busiCSLBType,busiCSLBExp,busiChemicals,busiFireArms,busiCommercial,busiHomeOcc,busiPrinted,CLASSIFICATION,busiActive,busiLastActive,busiFeesCharged,busiFeesPaid,busiFeesDue,busiEmail,busiSiteNumber,busiSiteStreet,busiSiteUnit,busiSiteCity,busiSiteState,busiSiteZIP,busiSiteAddress,busiSiteCityStZIP,busiSiteGEOType,busiSiteAPN,busimailAddress,busiMailCity,busiMailState,busiMailZIP,busiMailEqualsLocation,BusiPhysAddress,busiPhysCity,busiPhysState,busiPhysZIP,busiTel,busiLastModified,busiCreated,LOC_RECORDID,busiTRAKiTID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12395,Legacy Record,CONTRACTOR,ELECTRICAL,ABLE MAINTENANCE INC,CORPORATION,,,MARTY WEITHMAN,,,,,,,,312844,,Yes,312844,C-10,4/30/2018,,,,,,,,,208.7,138.8,69.9,marty@servicestationsystems.com,3224,REGIONAL PARKWAY,,Santa Rosa,CA,95403,3224 REGIONAL PARKWAY,Santa Rosa CA 95403,,,3224 REGIONAL PARKWAY,Santa Rosa,CA,95403,Yes,3224 REGIONAL PARKWAY,Santa Rosa,CA,95403,707-545-5500,0000000047EE536F,1177061102,,AME:1610130949035537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12398,Legacy Record,CONTRACTOR,CONSTRUCTION,GRB Builders,SOLE PROPRIETOR,,GRB Builders,Glen Brunson,,,,,,,,730281,,Yes,730281,B,5/31/2018,,,,,,,,,281.6,281.6,0,ann@grbbuilders.com,907,HOMEWOOD DRIVE,,WOODLAND,CA,95695,907 HOMEWOOD DRIVE,WOODLAND CA 95695,,,907 HOMEWOOD DRIVE,WOODLAND,CA,95695,Yes,907 HOMEWOOD DRIVE,WOODLAND,CA,95695,530-908-3238,000000009ACE5F4C,1179034199,,AME:1610171104457756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12399,Legacy Record,CONTRACTOR,LANDSCAPING,JD's Landscaping,LIMITED LIABILITY CORPORATION,,JD's Landscaping,Julian Sandoval,,,,,,,,,,Yes,,,,,,,,,,,,138.8,138.8,0,,3215,West Capital,#3,West Sacramento,CA,95691,3215 West Capital #3,West Sacramento CA 95691,,,3215 West Capital #3,West Sacramento,CA,95691,Yes,3215 West Capital #3,West Sacramento,CA,95691,916-559-5004,000000009ACE5FB2,1179065442,,AME:1610171146317863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12404,Legacy Record,CONTRACTOR,ELECTRICAL,Resistance Electric,SOLE PROPRIETOR,,Resistance Electric,Brandon Baird,,,,,,,,1019263,,Yes,1019263,C-10,10/31/2022,,,,,,,,,427.16,427.16,0,resistanceelectric@gmail.com,439,Placer,Pl,WOODLAND,CA,95695,439 Placer Pl,WOODLAND CA 95695,,,439 Placer Pl,WOODLAND,CA,95695,Yes,439 Placer Pl,WOODLAND,CA,95695,530-321-9924,00000000A6E14CB3,1185173977,,AME:1610240321274799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12411,Legacy Record,CONTRACTOR,FIRE PROTECTION,ANNUAL FIRE & SAFETY,CORPORATION,,ANNUAL FIRE & SAFETY,MOONI SANWAL,,,,,,,,1003088,,Yes,1003088,C-16,4/30/2017,,,,,,,,,208.7,208.7,0,mooni@afsfire1.com,,P.O. BOX 5675,,EL DORADO HILLS,CA,95762,P.O. BOX 5675,EL DORADO HILLS CA 95762,,,P.O. BOX 5675,EL DORADO HILLS,CA,95762,Yes,P.O. BOX 5675,EL DORADO HILLS,CA,95762,916-933-8828,000000009ACE6215,1193744988,,AME:1611071047025525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12412,Legacy Record,CONTRACTOR,CONSTRUCTION,GENE SUN WAN CONSTRUCTION,,,GENE SUN WAN CONSTRUCTION,GENE SUN WAN,,,,,,,,,,Yes,963360,B,7/31/2017,,,,,,,,,138.8,138.8,0,,3807,THERMIAC GULF WAY,,SACRMAMEMTP,CA,95834,3807 THERMIAC GULF WAY,SACRMAMEMTP CA 95834,,,3807 THERMIAC GULF WAY,SACRMAMEMTP,CA,95834,Yes,3807 THERMIAC GULF WAY,SACRMAMEMTP,CA,95834,916-475-2183,000000009ACE6263,1195129055,,AME:1611081138586755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12413,Legacy Record,CONTRACTOR,CONSTRUCTION,DeWitt Bros & Co Inc.,CORPORATION,,"DeWitt Bros & Co, Inc.",Bradley DeWitt,,,,,,,,794030,,Yes,794030,A,4/30/2017,,,,,,,,,138.8,138.8,0,dewittbrosandco@aol.com,3243,INDUSTRIAL DR,,"Yuba City,",CA,95993,3243 INDUSTRIAL DR,"Yuba City, CA 95993",,,3243 INDUSTRIAL DR,"Yuba City,",CA,95993,Yes,3243 INDUSTRIAL DR,"Yuba City,",CA,95993,530-755-4334,000000009ACE62A7,1195783284,,AME:1611090846527260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420,Legacy Record,CONTRACTOR,ELECTRICAL,YOLO ELECTRIC,SOLE PROPRIETOR,,YOLO ELECTRIC,PABLO HERNANDEZ,,,,,,,,879523,,Yes,879523,C10,11/30/2017,,,,,,,,,138.8,138.8,0,yoloelectric@gmail.com,707,PLACER DR,,WOODLAND,CA,95695,707 PLACER DR,WOODLAND CA 95695,,,707 PLACER DR,WOODLAND,CA,95695,Yes,707 PLACER DR,WOODLAND,CA,95695,530-979-1607,000000009ACE6378,1204195430,,AME:1611210126544884,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12424,Legacy Record,CONTRACTOR,ROOFING,"1 N DONE ROOFING SERVICES, INC.",CORPORATION,,"1 N DONE ROOFING SERVICES, INC.",OCTAVIO GONZALEZ,,,,,,,,978088,,Yes,978088,C39,11/30/2020,,,,,,,,,280.6,280.6,0,1ndoneroofing@gmail.com,12277,KIMBERLY,RD,Marysville,CA,95901,12277 KIMBERLY RD,Marysville CA 95901,,,12277 KIMBERLY RD,Marysville,CA,95901,Yes,12277 KIMBERLY RD,Marysville,CA,95901,530-933-8272,000000009ACE63CC,1208920604,,AME:1611290937329937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12431,Legacy Record,CONTRACTOR,SIGNS,UNITED SIGN SYSTEMS,CORPORATION,,UNITED SIGN SYSTEMS,GENE OWENS,,,,,,,,718965,,Yes,718965,C45,2/28/2018,,,,,,,,,0,,0,,5201,PENTECOST DR,,MODESTO,CA,95365,5201 PENTECOST DR,MODESTO CA 95365,,,5201 PENTECOST DR,MODESTO,CA,95365,Yes,5201 PENTECOST DR,MODESTO,CA,95365,209-543-1320,000000009ACEEA17,1223147662,,AME:1612150105357543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12438,Legacy Record,CONTRACTOR,GENERAL,AITHR,CORPORATION,,AITHR,DAVE ARNONE,,,,,,,(1/4/2017 2:41 PM AME)Aging in the home remodel,1001047,,Yes,1001047,B,2/28/2017,,,,,,,,,138.8,138.8,0,wibinstall@yahoo.com,793,CROCKET CT,,Brentwood,Ca,94513,793 CROCKET CT,Brentwood Ca 94513,,,793 CROCKET CT,Brentwood,Ca,94513,Yes,793 CROCKET CT,Brentwood,Ca,94513,925-219-5930,000000009ACEEBF6,1232943013,,AME:1701040241163964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12453,Legacy Record,CONTRACTOR,CONSTRUCTION,SAMRA CONSTRUCTION,SOLE PROPRIETOR,,SAMRA CONSTRUCTION,SINGH SAMRA,,,,,,,,480240,,Yes,480240,B,10/31/2017,,,,,,,,,138.8,138.8,0,samra.construction@gmail.com,3340,LEONA CIR,,SACRAMENTO,CA,95834,3340 LEONA CIR,SACRAMENTO CA 95834,,,3340 LEONA CIR,SACRAMENTO,CA,95834,Yes,3340 LEONA CIR,SACRAMENTO,CA,95834,916-416-8891,000000009B078543,1249993324,,AME:1701300227384542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12454,Legacy Record,CONTRACTOR,CONSTRUCTION,"CSM Group of America, Inc.",CORPORATION,,"CSM Group of America, Inc.",Steve East,,,,,,,,1009378,,Yes,1009378,B,12/31/2017,,,,,,,,,138.8,138.8,0,kris.wolf@csmgroup.com,444,"West Michigan Ave., Suite 100",,Kalamazoo,MI,49007,"444 West Michigan Ave., Suite 100",Kalamazoo MI 49007,,,"444 West Michigan Ave., Suite 100",Kalamazoo,MI,49007,Yes,"444 West Michigan Ave., Suite 100",Kalamazoo,MI,49007,269-377-2356,000000009B078599,1252162521,,AME:1702011012426300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12456,Legacy Record,,,CAPAY VALLEY FLORICULTURE,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,000000004AB835CD,1253585716,,AME:1702021054197752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12465,Legacy Record,CONTRACTOR,CONSTRUCTION,California Design Solutions,CORPORATION,,California Design Solutions,Ben Kondor,,,,,,,,906002,,Yes,906002,"C6, B",11/30/2019,,,,,,,,,138.8,138.8,0,cdsremodeling@gmail.com,3371,TUALITIN WAY,,RANCHO CORDOVA,CA,95670,3371 TUALITIN WAY,RANCHO CORDOVA CA 95670,,,3371 TUALITIN WAY,RANCHO CORDOVA,CA,95670,Yes,3371 TUALITIN WAY,RANCHO CORDOVA,CA,95670,916-612-9218,000000009B07889C,1269421746,,AME:1702220142343110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12469,Legacy Record,CONTRACTOR,ENGINEERING,"URSA Engineering, Inc.",CORPORATION,,"URSA Engineering, Inc.",Kevin Post,,,,,,,,726350,,Yes,726350,A,8/31/2018,,,,,,,,,138.8,138.8,0,kevin@ursaengineering.com,21672,Gilbert Dr,,Palo Cedro,CA,96073,21672 Gilbert Dr,Palo Cedro CA 96073,,,21672 Gilbert Dr,Palo Cedro,CA,96073,Yes,21672 Gilbert Dr,Palo Cedro,CA,96073,530-241-5363,000000009B078980,1276196919,,AME:1703020253340722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476,Legacy Record,CONTRACTOR,CONSTRUCTION,LANDON ROBERTS CONSTRUCTION,SOLE PROPRIETOR,,LANDON ROBERTS CONSTRUCTION,LANDON ROBERTS,,,,,,,,860313,,Yes,860313,B,6/30/2019,,,,,,,,,138.8,138.8,0,roberts9@surewest.net,230,I STREET,,LINCOLN,CA,95648,230 I STREET,LINCOLN CA 95648,,,230 I STREET,LINCOLN,CA,95648,Yes,230 I STREET,LINCOLN,CA,95648,916-677-6191,000000009B9A7E05,1291791489,,AME:1703201025230252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12479,Legacy Record,CONTRACTOR,CONSTRUCTION,NEXUS ENERGY SYSTEMS,CORPORATION,,NEXUS ENERGY SYSTEMS,MICHAEL RIETKERK,3,1522,,,,,,359060,,Yes,359060,B,7/31/2021,,,,,,,,,630.74,630.74,0,tmorales@nexussolar.net,2810,HARBOR BLVD STE 201,,OXNARD,CA,93035,2810 HARBOR BLVD STE 201,OXNARD CA 93035,,,2810 HARBOR BLVD STE 201,OXNARD,CA,93035,Yes,2810 HARBOR BLVD STE 201,OXNARD,CA,93035,805-748-5607,00000000B4A68654,1293165441,,AME:1703210125131757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12584,Legacy Record,CONTRACTOR,HVAC,ANGKOR HEATING AIR CONDITIONING,PARTNERSHIP,,ANGKOR HEATING AIR CONDITIONING,SOMOTH PO,,,,,,,,962008,,Yes,962008,C20,6/30/2019,,,,,,,,,138.8,138.8,0,angkorheatandair@hotmail.com,2043,DIJON ST,,Stockton,CA,95210,2043 DIJON ST,Stockton CA 95210,,,2043 DIJON ST,Stockton,CA,95210,Yes,2043 DIJON ST,Stockton,CA,95210,209-639-6930,000000009B10C738,1453834575,,ANE:1709190333213281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618,Legacy Record,CONTRACTOR,REMODELING INTERIOR,Commercial Kitchen Services,CORPORATION,,Commercial Kitchen Services,Randy Fachner,4,,,,,,,1016487,,Yes,1016487,,,,,,,,,,,137.8,137.8,0,,388,W. Woodbridge Rd.,,Lodi,CA,95242,388 W. Woodbridge Rd.,Lodi CA 95242,,,388 W. Woodbridge Rd.,"Lodi,",CA,95242,Yes,388 W. Woodbridge Rd.,"Lodi,",CA,95242,209-365-3033,000000009B2D580C,1503791966,,ANE:1711071031582477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12640,Legacy Record,CONTRACTOR,ELECTRICAL,"JK Communications and Construction Inc.,",CORPORATION,,Kleven Construction,Jerry Kleven,,,,,,,(1/5/2018 10:38 AM ANE)dba Kleven Construction,,,Yes,861155,A,7/31/2019,,,,,,,,,190.32,190.32,0,wlusk@klevcon.com,110,S. Priest Dr Suite 101,,Tempe,AZ,85281,110 S. Priest Dr Suite 101,Tempe AZ 85281,,,PO Box 62013,Pheonix,AZ,85082,No,110 S. Priest Dr Suite 101,Tempe,AZ,85281,480-736-8400,000000009B2D5DB8,1546350252,,ANE:1801051037436161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,Legacy Record,ANIMAL BOARDING,,VOID,,,,KOLESAR FAM 2009 REV TRUST,,,,,,,,,,Yes,,,,,,,,,,,,0,,0,,18016,WOOD DUCK ST,,Woodland,CA,95695,18016 WOOD DUCK ST,Woodland CA 95695,PARCEL,025-521-004,,,,,No,18016 WOOD DUCK ST,Woodland,CA,95695,,000000005D49204E,1564984995,YOLO:1102101329223693,ANE:1801291120148539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12660,Legacy Record,CONTRACTOR,SOLAR/PV,Westcoast Solar Energy,CORPORATION,,Westcoast Solar Energy,Nate Gulbransen,,,,,,,,,,Yes,963158,C10/46,7/31/2018,,,,,,,,,141.8,141.8,0,michelee@westcoastsolarenergy.com,2280,Gravestein Hwy South,,Sebastopol,CA,95472,2280 Gravestein Hwy South,Sebastopol CA 95472,,,2280 Gravestein Hwy South,Sebastopol,Ca,945472,Yes,2280 Gravestein Hwy South,Sebastopol,CA,95472,704-664-6450,000000009B6F1FC3,1592193970,,ANE:1803021024097831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12661,Legacy Record,CONTRACTOR,TELECOMMUNICATION,Advance Wireless & Logistics,CORPORATION,,,Russ Alm,5,,,,,,,1002720,,Yes,1002720,B,4/30/2019,,,,,,,,,141.8,141.8,0,,1707,Hidden Circle,,Shingle Springs,CA,95682,1707 Hidden Circle,Shingle Springs CA 95682,,,1707 HIDDEN CIRCLE,SHINGLE SPRINGS,CA,95682,Yes,1707 Hidden Circle,"Cameron Park,",CA,95682,916-807-4287,000000009B6F2008,1592251500,,ANE:1803021049577934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12666,Legacy Record,CONTRACTOR,SOLAR/PV,Responsible Solar,SOLE PROPRIETOR,,"Responsible Solar, INC.",Andy Ooms,5,,,,,,,,,Yes,974916,C-46,8/31/2018,,,,,,,,,141.8,141.8,0,seth@responsiblesolar.com,6023,Churn Creek Road,,Redding,CA,96002,6023 Churn Creek Road,Redding CA 96002,,,6023 Churn Creek Road,Redding,CA,96002,Yes,6023 Churn Creek Road,Redding,CA,96002,530-355-3725,000000009B6FEC03,1597335909,,ANE:1803081220223700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12669,Legacy Record,CONTRACTOR,CONSTRUCTION,"Shears Flooring Installation, INC.",CORPORATION,,"Shears Flooring Istallation, INC",,,,,,,,,,,Yes,972863,,6/30/2018,,,,,,,,,141.8,141.8,0,,10439,Joplin Lane,,Stockton,CA,95212,10439 Joplin Lane,Stockton CA 95212,,,10439 Joplin Lane,Stockton,CA,95212,Yes,10439 Joplin Lane,Stockton,CA,95212,,000000009B700479,1598476406,,ANE:1803091106075428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12673,Legacy Record,CONTRACTOR,ELECTRICAL,Guzman Electric Inc,CORPORATION,,Guzman Electric Inc,Augustin Guzman,,,,,,,,,,Yes,653669,C,10/31/2019,,,,,,,,,190.32,190.32,0,accounting@guzmanelectric.com,6500,Asher Lane #100,,Sacramento,CA,95828,6500 Asher Lane #100,Sacramento CA 95828,,,6500 Asher Lane # 100,Sacramento,CA,95828,No,6500 Asher Lane #100,Sacramento,CA,95828,916-386-1249,000000009B70053C,1601934527,,ANE:1803140250409887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12680,Legacy Record,CONTRACTOR,ELECTRICAL,Reamer Line Construction LLC,LIMITED LIABILITY CORPORATION,,Reamer Line Construction,James Reamer,,,,,,,,,,Yes,1026004,C-10,4/30/2019,,,,,,,,,332.12,332.12,0,james.reamer@yahoo.com,36349,N Center St,,Clarksburg,CA,95612,36349 N Center St,Clarksburg CA 95612,,,P.O. Box 124,Clarksburg,CA,95612,No,36349 N Center St,Clarksburg,CA,95612,,000000009B7006BB,1607778325,,ANE:1803211126347546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12681,Legacy Record,CONTRACTOR,CONSTRUCTION,Northern California Tile and Stone INC,CORPORATION,,Northern California Tile and Stone INC,Roger Leasure,,,,,,,,,,Yes,938930,C54,10/31/2019,,,,,,,,,238.84,238.84,0,,6341,Sky Creek Dr #400,,Sacramento,CA,95828,6341 Sky Creek Dr #400,Sacramento CA 95828,,,6341 Sky Creek Drive Suite 400,Sacramento,CA,95828,No,6341 Sky Creek Dr #400,Sacramento,CA,95828,,000000009B700722,1611117473,,ANE:1803260904151715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12701,Legacy Record,CONTRACTOR,SOLAR/PV,EVERGREEN SOLAR,SOLE PROPRIETOR,,EVERGREEN SOLAR,,,,,,,,,,,Yes,730423,B,12/31/2018,,,,,,,,,141.8,141.8,0,,8328,OLIVINE AVENUE,,CITRUS HEIGHTS,CA,95610,8328 OLIVINE AVENUE,CITRUS HEIGHTS CA 95610,,,8328 OLIVINE AVENUE,CITRUS HEIGHTS,CA,95610,Yes,8328 OLIVINE AVENUE,CITRUS HEIGHTS,CA,95610,,000000009B70B9D3,1632595085,,ANE:1804190327506334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12706,Legacy Record,CONTRACTOR,CONSTRUCTION,SMART ENERGY SOLUTIONS,CORPORATION,,,Andrey Vakulchik,,,,,,,,,,Yes,,,,,,,,,,,,141.8,141.8,0,huperandrey@yahoo.com,1331,TERMINAL STREET,,West Sacramento,CA,95691,1331 TERMINAL STREET,West Sacramento CA 95691,,,1331 TERMINAL STREET,West Sacramento,CA,95691,Yes,1331 TERMINAL STREET,West Sacramento,CA,95691,916-799-4938,000000009B71B629,1639690989,,ANE:1804271007214093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709,Legacy Record,CONTRACTOR,PLUMBING,PRO-PLUMBING,SOLE PROPRIETOR,,,KEMAL FAZLIC,,,,,,,,12709,,NO,1001202,C36,2/28/2021,,,,,,,,,332.12,332.12,0,,7100,VAN MAREN LANE,,Citrus Heights,CA,95621,7100 VAN MAREN LANE,Citrus Heights CA 95621,,,7100 VAN MAREN LANE,Citrus Heights,CA,95621,Yes,7100 VAN MAREN LANE,"Citrus Heights,",CA,95621,,000000009B71B6E1,1647628746,,ANE:1805070951103710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12710,Legacy Record,CONTRACTOR,POOL/SPA,GORDOS POOL PLASTERING,SOLE PROPRIETOR,,,JUAN RAMIREZ,3,,,,,,,12710,,NO,1026957,C53,5/31/2019,,,,,,,,,190.32,190.32,0,gordospoolplastering@gmail.com,1964,OBANION ROAD,,"Yuba City,",CA,95993,1964 OBANION ROAD,"Yuba City, CA 95993",,,1964 OBANION ROAD,"Yuba City,",CA,95993,Yes,1964 OBANION ROAD,"Yuba City,",CA,95993,916-955-7402,000000009B75FE0A,1647648671,,ANE:1805071103543972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12717,Legacy Record,CONTRACTOR,POOL/SPA,"SACRAMENTO PRESTIGE GUNITE, INC",CORPORATION,,,ERIC SCHMIDT,,1771,,,,,,,,Yes,910574,D06,2/28/2022,,,,,,,,,287.36,287.36,0,mike.master@prestige-gunite.com,8634,ANTELOPE,,Antelope,CA,95843,8634 ANTELOPE,Antelope CA 95843,,,8634 ANTELOPE N. RD.,Antelope,CA,95843,No,8634 ANTELOPE,Antelope,CA,95843,916-723-0404,00000000A6E24E23,1651988571,,ANE:1805140345150046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12726,Legacy Record,CONTRACTOR,SEPTIC,ALL WELL ABANDONMENT,CORPORATION,,ALL WELL ABANDONMENT,,,,,,,,,,,Yes,848359,C57,11/30/2018,,,,,,,,,141.8,141.8,0,robslagle@att.net,3369,FITZGERAL ROAD,,RANCHO CORDOVA,CA,95742,3369 FITZGERAL ROAD,RANCHO CORDOVA CA 95742,,,3369 FITZGERALD ROAD,RANCHO CORDOVA,CA,95742,No,3369 FITZGERAL ROAD,RANCHO CORDOVA,CA,95742,916-363-9355,000000009B76021D,1673756456,,ANE:1806041051330952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
